track_id	BBtrack_name3480	track_artist	track_popularity	track_album_id	track_album_name	track_album_release_date	playlist_name	playlist_id	danceability-energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	rap	rock	r&b
3N02rdKYcUq6nabDpCRv7v	Heavy/Like a Witch	All Them Witches	46	3N02rdKYcUq6nabDpCRv7v	Our Mother Electricity	2012-12-07	Badass Rock	3N02rdKYcUq6nabDpCRv7v	0.323_0.903	0	-6.537	1R	0.125	0.00249	0.571	0.104	0.255	152.827	347875	southern hip hop	NA	NA
1zcJ1eMjRONHitpcPx0c68	Tired Old Dog	The Devil and the Almighty Blues	1	1zcJ1eMjRONHitpcPx0c68	The Devil and the Almighty Blues	2015-02-16	Badass Rock	1zcJ1eMjRONHitpcPx0c68	0.468_0.563	1	-7.773	1	0.0301	0.038	0.0869	0.0956	0.431	83.726	387669	southern hip hop	NA	NA
48RCrsAtJ9HIKu95EwWoOt	Left Us To Mold	Unida	34	48RCrsAtJ9HIKu95EwWoOt	High Volume: The Stoner Rock Collection	2005-07-05	Badass Rock	48RCrsAtJ9HIKu95EwWoOt	0.214_0.942	5	-3.928	0	0.157	0.000359	0.708	0.0942	0.391	130.433	346117	southern hip hop	NA	NA
7kItHXkqfLWFOiZ0tSzzbA	Enter the Riffian	Wo Fat	34	7kItHXkqfLWFOiZ0tSzzbA	Psychedelonaut	2009-01-01	Badass Rock	7kItHXkqfLWFOiZ0tSzzbA	0.329_0.786	10	-7.833	0	0.0475	1.89e-05	0.241	0.112	0.301	140.839	339573	southern hip hop	NA	NA
3PrPbuCs02pv3jZtWieaFa	Die of Thirst	Gorilla Pulp	30	3PrPbuCs02pv3jZtWieaFa	Peyote Queen	2016	Badass Rock	3PrPbuCs02pv3jZtWieaFa	0.358_0.544	6	-6.576	1	0.0299	0.00432	0.901	0.126	0.0397	130.803	142618	southern hip hop	NA	NA
3G58YAOF6553O7jNneeEId	Hello To Oblivion	Formula	12	3G58YAOF6553O7jNneeEId	High Volume: The Stoner Rock Collection	2005-07-05	Badass Rock	3G58YAOF6553O7jNneeEId	0.211_0.809	10	-6.263	1R	0.0474	0.000146	0.901	0.531	0.439	118.316	281844	southern hip hop	NA	NA
0rkcFGA6XEVd2XV2JI6msk	When Love Comes To Town	U2	3	0rkcFGA6XEVd2XV2JI6msk	Rattle And Hum	1988-10-10	Badass Rock	0rkcFGA6XEVd2XV2JI6msk	0.65_0.665	9	-11.259	1R	0.0372	0.0526	4.62e-06	0.13	0.593	115.51	254267	southern hip hop	NA	NA
1Qc7zCw6k2KTvSEl4IKSdP	The Pusher	Steppenwolf	54	1Qc7zCw6k2KTvSEl4IKSdP	Steppenwolf	1968	Badass Rock	1Qc7zCw6k2KTvSEl4IKSdP	0.467_0.382	0	-13.807	1	0.0264	0.236	0.125	0.187	0.704	81.754	350467	southern hip hop	NA	NA
7rwM67LyGTDIq33h3Ukc6Y	I Gotsta Get Paid	ZZ Top	47	7rwM67LyGTDIq33h3Ukc6Y	La Futura	2012-09-11	Badass Rock	7rwM67LyGTDIq33h3Ukc6Y	0.542_0.941	7	-2.225	1R	0.062	0.052	0.000191	0.056	0.445	82.371	243160	southern hip hop	NA	NA
7112WRQXlBGe4Os43yw8gV	King of Rock	Run-D.M.C.	46	7112WRQXlBGe4Os43yw8gV	King Of Rock (Expanded Edition)	1985-01-21	Badass Rock	7112WRQXlBGe4Os43yw8gV	0.825_0.857	2	-3.389	0	0.0448	0.00907	0	0.0461	0.791	98.204	314147	southern hip hop	NA	NA
7GRq9NUgqhxPGUUksX02fk	Blue on Black	Kenny Wayne Shepherd	59	7GRq9NUgqhxPGUUksX02fk	Trouble Is...	1997-09-26	Badass Rock	7GRq9NUgqhxPGUUksX02fk	0.412_0.676	7	-7.341	1	0.0266	0.00596	0.112	0.209	0.557	155.431	333733	southern hip hop	NA	NA
5VXfsQX2NYS9USmDgVyys0	Call Me Devil	Friends in Tokyo	55	5VXfsQX2NYS9USmDgVyys0	Keep Moving On	2015-01-30	Badass Rock	5VXfsQX2NYS9USmDgVyys0	0.458_0.733	2	-5.7	0	0.0711	0.00255	2.23918803746346	0.595	0.535	62.469	249600	southern hip hop	NA	NA
7bNFkCSO1ofu3uzr6voY7T	Just Got Paid	ZZ Top	52	7bNFkCSO1ofu3uzr6voY7T	Rio Grande Mud	1972	Badass Rock	7bNFkCSO1ofu3uzr6voY7T	0.567_0.687	9	-10.536	1	0.0435	0.29	0.426	0.121	0.625	99.93	267480	southern hip hop	NA	NA
2cppGOIz0cuDnKoGzrDsJQ	The Fear	The Score	67	2cppGOIz0cuDnKoGzrDsJQ	Pressure	2019-02-01	Badass Rock	2cppGOIz0cuDnKoGzrDsJQ	0.498_0.628	7	-5.709	0	0.0317	0.00686	0	0.362	0.218	138.099	183853	southern hip hop	NA	NA
3UWYmWg9j8KVV08ANBqcLB	White Trash Millionaire	Black Stone Cherry	56	3UWYmWg9j8KVV08ANBqcLB	Between The Devil & The Deep Blue Sea (Special Edition)	3-01-01	Badass Rock	3UWYmWg9j8KVV08ANBqcLB	0.485_0.898	4	-3.75	1	0.0568	0.000776	0.00244	0.642	0.494	99.983	198680	southern hip hop	NA	NA
6nDxUpsVjr4qAQGpd2oy6g	Hell on Wheels	Nick Nolan	36	6nDxUpsVjr4qAQGpd2oy6g	Outlaw Blues 2	2015-02-07	Badass Rock	6nDxUpsVjr4qAQGpd2oy6g	0.382_0.771	7	-5.24	1	0.0365	0.00268	0.919	0.254	0.4	145.918	172384	southern hip hop	NA	NA
5EOoMWIB9iK4ZpcSex9Ec7	Old Time Rock & Roll	Bob Seger	72	5EOoMWIB9iK4ZpcSex9Ec7	Stranger In Town	1978-05-05	Badass Rock	5EOoMWIB9iK4ZpcSex9Ec7	0.714_0.937	6	-2.947	1R	0.0399	0.206	0	0.0731	0.964	124.13	194147	southern hip hop	NA	NA
0ifIudDeWelhhKzNqP12jm	Heaven Knows	The Pretty Reckless	3	0ifIudDeWelhhKzNqP12jm	Going To Hell	2014-03-17	Badass Rock	0ifIudDeWelhhKzNqP12jm	0.54_0.801	2	-3.733	1R	0.0475	0.0845	0	0.221	0.577	83.979	224855	southern hip hop	NA	NA
56xzyK1pLQ1Lw1AVcCM97r	Electric Man	Rival Sons	48	56xzyK1pLQ1Lw1AVcCM97r	Great Western Valkyrie	2014-06-09	Badass Rock	56xzyK1pLQ1Lw1AVcCM97r	0.386_0.87	10	-3.081	1	0.0443	0.0279	0.00127	0.513	0.527	171.118	200064	southern hip hop	NA	NA
43KDuKt8wcZFkx8RNwf1Si	Wild Thing	JAXSON GAMBLE	46	43KDuKt8wcZFkx8RNwf1Si	Wild Thing	2016-09-23	Badass Rock	43KDuKt8wcZFkx8RNwf1Si	0.676_0.839	2	-6.231	1	0.0814	0.0385	0	0.256	0.814	160.027	173250	southern hip hop	NA	NA
3rdFEtI9fiqQYBVyIaOBh9	Absolution	The Pretty Reckless	0	3rdFEtI9fiqQYBVyIaOBh9	Going To Hell	2014-03-17	Badass Rock	3rdFEtI9fiqQYBVyIaOBh9	0.595_0.727	6	-4.153	1	0.0335	0.00186	0.0246	0.112	0.328	97.916	274061	southern hip hop	NA	NA
1ohphTiYoW84NPGpPY6HW6	Love Is Pain	Joan Jett & The Blackhearts	20	1ohphTiYoW84NPGpPY6HW6	Bad Reputation (Music from the Original Motion Picture)	2018-09-28	Badass Rock	1ohphTiYoW84NPGpPY6HW6	0.324_0.887	2	-4.512	1	0.0528	0.000128	0.0327	0.248	0.438	112.012	209480	southern hip hop	NA	NA
5bHC9aYva39pR1mmFMFVxu	Rain Wizard	Black Stone Cherry	38	5bHC9aYva39pR1mmFMFVxu	Black Stone Cherry	2006-07-17	Badass Rock	5bHC9aYva39pR1mmFMFVxu	0.245_0.805	6	-3.778	0	0.045	0.000287	0.000225	0.275	0.648	171.272	204760	southern hip hop	NA	NA
1BfR5GMOgW0peHkPxrwf11	Safari Song	Greta Van Fleet	66	1BfR5GMOgW0peHkPxrwf11	From The Fires	2017-11-10	Badass Rock	1BfR5GMOgW0peHkPxrwf11	0.364_0.928	2	-4.015	1R	0.0485	0.16	1.58e-05	0.315	0.677	175.878	234600	southern hip hop	NA	NA
2AYzOAV74uB3YahrDHiYxV	How We Do It	Royal Deluxe	42	2AYzOAV74uB3YahrDHiYxV	Born for This	2016-02-23	Badass Rock	2AYzOAV74uB3YahrDHiYxV	0.513_0.727	4	-5.496	0	0.0372	0.0529	3.67e-06	0.158	0.333	76.989	200987	southern hip hop	NA	NA
1JNvCcHIlwpcxWJ5NFgUrl	Get Up	Dorothy	29	1JNvCcHIlwpcxWJ5NFgUrl	Get Up	2016-02-05	Badass Rock	1JNvCcHIlwpcxWJ5NFgUrl	0.643_0.383	9	-6.433	0	0.036	0.0197	0	0.0892	0.42	94.985	118834	southern hip hop	NA	NA
6nRQHhMINUm8rjGgpdkBYH	My Medicine - Single Version	The Pretty Reckless	53	6nRQHhMINUm8rjGgpdkBYH	Light Me Up	2010-01-01	Badass Rock	6nRQHhMINUm8rjGgpdkBYH	0.427_0.907	10	-2.267	0	0.197	0.00297	0	0.671	0.412	150.134	193987	southern hip hop	NA	NA
6lQ4C2lYc3mIsBtB6EfkwT	Medicine Man	Dorothy	45	6lQ4C2lYc3mIsBtB6EfkwT	ROCKISDEAD	2016-06-24	Badass Rock	6lQ4C2lYc3mIsBtB6EfkwT	0.476_0.452	0	-7.331	1R	0.0258	0.0788	0	0.124	0.297	140.15	199360	southern hip hop	NA	NA
3zfVj6UVenatGKid6QirRW	Fight	Oleander	41	3zfVj6UVenatGKid6QirRW	Something Beautiful	2013-04-16	Badass Rock	3zfVj6UVenatGKid6QirRW	0.46_0.978	1	-5.25	0	0.0982	0.000289	6.62e-06	0.329	0.302	92.51	212950	southern hip hop	NA	NA
0oeXrzQoMEIRr3GkaLL9GG	Going to Hell	The Pretty Reckless	1	0oeXrzQoMEIRr3GkaLL9GG	Going To Hell	2014-03-17	Badass Rock	0oeXrzQoMEIRr3GkaLL9GG	0.559_0.994	6	-2.148	1	0.128	7.46e-05	0.00265	0.375	0.268	115.016	278789	southern hip hop	NA	NA
0Puj4YlTm6xNzDDADXHMI9	Sabotage	Beastie Boys	71	0Puj4YlTm6xNzDDADXHMI9	Ill Communication	1994-05-23	Badass Rock	0Puj4YlTm6xNzDDADXHMI9	0.324_0.938	6	-7.332	0	0.102	0.032	0.0321	0.0961	0.543	168.131	178440	southern hip hop	NA	NA
0ps0e9UUY3XgEajDj6jYAV	Sweet Things	The Pretty Reckless	42	0ps0e9UUY3XgEajDj6jYAV	Going to Hell	2014-03-17	Badass Rock	0ps0e9UUY3XgEajDj6jYAV	0.427_0.971	4	-3.824	1	0.12	2.92e-05	0.0114	0.386	0.313	77.511	304363	southern hip hop	NA	NA
7gYwLhNCMY8JHsnmXh8gOm	Hoje Tem	WC no Beat	60	7gYwLhNCMY8JHsnmXh8gOm	Hoje Tem	2019-08-09	Trap Funk	7gYwLhNCMY8JHsnmXh8gOm	0.758_0.654	10	-6.965	0	0.0758	0.268	0	0.162	0.587	134.998	181461	trap	NA	NA
6VAbBF9tzYLq7BJJax9fEH	Nao Da Mais	Mc Don Juan	67	6VAbBF9tzYLq7BJJax9fEH	Nao Da Mais	2019-12-07	Trap Funk	6VAbBF9tzYLq7BJJax9fEH	0.48_0.511	4	-7.709	0	0.199	0.316	0	0.215	0.346	149.587	142776	trap	NA	NA
21XSuhXrp3G5bXixJB12LK	Prive	Thiaguinho MT	42	21XSuhXrp3G5bXixJB12LK	Prive	2019-10-18	Trap Funk	21XSuhXrp3G5bXixJB12LK	0.798_0.553	9	-11.544	1	0.0643	0.382	0	0.0806	0.392	100.053	139200	trap	NA	NA
1kg8WVYDnes58GOJgwQVFR	Os Clinicos	MC Cabelinho	57	1kg8WVYDnes58GOJgwQVFR	Os Clinicos	2019-08-09	Trap Funk	1kg8WVYDnes58GOJgwQVFR	0.662_0.853	0	-4.764	1	0.445	0.291	0	0.116	0.524	99.626	154510	trap	NA	NA
17arbOEI0m070vJ9ILOmAR	Como ela vem (feat. Luccas Carlos, Xama, PK e Orochi)	Papatinho	62	17arbOEI0m070vJ9ILOmAR	Como ela vem (feat. Luccas Carlos, Xama, PK e Orochi)	2019-01-31	Trap Funk	17arbOEI0m070vJ9ILOmAR	0.809_0.51	10	-8.064	1	0.0779	0.692	8.57346402434632	0.133	0.645	129.958	223385	trap	NA	NA
5EXE6f9AOYgavIAcUfBK2t	Chamei Chamando	Mc Don Juan	57	5EXE6f9AOYgavIAcUfBK2t	Chamei Chamando	2019-10-14	Trap Funk	5EXE6f9AOYgavIAcUfBK2t	0.874_0.317	9	-9.513	1	0.123	0.633	1.91e-05	0.0993	0.677	95.057	121263	trap	NA	NA
4VFld1U9CQV3PIGRfZWt9n	Relaxa E Fica	Shark	46	4VFld1U9CQV3PIGRfZWt9n	Relaxa E Fica	2019-07-21	Trap Funk	4VFld1U9CQV3PIGRfZWt9n	0.763_0.702	4	-4.987	0R	0.23	0.381	0	0.383	0.245	126	159048	trap	NA	NA
6RTcqvVW3VDuHtwJ6ScvOW	Quando Te Vejo no Baile	BlakkStar	49	6RTcqvVW3VDuHtwJ6ScvOW	Quando Te Vejo no Baile	2019-08-30	Trap Funk	6RTcqvVW3VDuHtwJ6ScvOW	0.748_0.208	0	-16.352	0R	0.0862	0.611	1.97e-06	0.0958	0.487	107.033	203920	trap	NA	NA
42G4V7gX7cbV2O1HBVanEv	Deus e familia	Delano	64	42G4V7gX7cbV2O1HBVanEv	Deus e familia	2019-05-17	Trap Funk	42G4V7gX7cbV2O1HBVanEv	0.713_0.632	10	-4.323	1	0.431	0.32	0	0.0802	0.593	119.797	261333	trap	NA	NA
7sqnI7oQSdaA12yXYKmjZR	Princesa - Ao Vivo	Nego do Borel	62	7sqnI7oQSdaA12yXYKmjZR	Nego do Borel - Ao Vivo	2019-10-25	Trap Funk	7sqnI7oQSdaA12yXYKmjZR	0.721_0.827	5	-5.127	0	0.0536	0.335	0	0.311	0.951	149.977	122784	trap	NA	NA
0BRakNJ3ZTNYKGsJGQpBc4	Se Joga	3 Tenores	40	0BRakNJ3ZTNYKGsJGQpBc4	Se Joga	2019-11-01	Trap Funk	0BRakNJ3ZTNYKGsJGQpBc4	0.494_0.554	11	-9.284	0	0.31	0.384	4.24328275844455	0.145	0.45	88.052	217184	trap	NA	NA
39prUqVo8l2P4fynUxkRpx	So Moleque Bom	NGKS	43	39prUqVo8l2P4fynUxkRpx	So Moleque Bom	2019-08-23	Trap Funk	39prUqVo8l2P4fynUxkRpx	0.591_0.572	1	-4.4	1	0.377	0.132	6.24e-06	0.0937	0.672	84.314	206769	trap	NA	NA
7y5TBbPugOXsBZK0ZxNxDN	TBT	Caverinha	35	7y5TBbPugOXsBZK0ZxNxDN	TBT	2019-09-20	Trap Funk	7y5TBbPugOXsBZK0ZxNxDN	0.949_0.492	1	-7.369	1R	0.109	0.0357	0	0.0806	0.18	104.942	148637	trap	NA	NA
43XDaKoXkyETHM6FrJbfHg	Assassina	Malharo	34	43XDaKoXkyETHM6FrJbfHg	Assassina	2019-11-29	Trap Funk	43XDaKoXkyETHM6FrJbfHg	0.902_0.5	6	-5.579	0	0.293	0.0601	3.64e-06	0.0838	0.378	149.95	182465	trap	NA	NA
35BgOIy3nEkEOsIAu6A0aV	Favela	MC Cabelinho	57	35BgOIy3nEkEOsIAu6A0aV	Favela	2019-06-18	Trap Funk	35BgOIy3nEkEOsIAu6A0aV	0.688_0.669	4	-7.368	0	0.117	0.432	0	0.613	0.501	132.118	210909	trap	NA	NA
5bgLqAfunEaExdIzaZVh2t	Nas Alturas	UCLA	47	5bgLqAfunEaExdIzaZVh2t	Nas Alturas	2019-05-02	Trap Funk	5bgLqAfunEaExdIzaZVh2t	0.561_0.649	3	-7.268	0	0.407	0.219	0	0.159	0.793	88.074	257509	trap	NA	NA
4zZ2rPOa8itw3VuusVSicv	Deixa	Mc Th	72	4zZ2rPOa8itw3VuusVSicv	Deixa	2019-04-18	Trap Funk	4zZ2rPOa8itw3VuusVSicv	0.712_0.638	3	-4.551	0	0.181	0.3	0	0.0929	0.887	94.828	161684	trap	NA	NA
47FQoQWiyf6SCn2tRkrOX1	La Bela do Baile	Tavo	33	47FQoQWiyf6SCn2tRkrOX1	La Bela do Baile	2018-08-23	Trap Funk	47FQoQWiyf6SCn2tRkrOX1	0.787_0.682	4	-6.729	0	0.152	0.043	0	0.227	0.814	135.953	187059	trap	NA	NA
3oIr6neILMnPkN8AhyHjKU	OhUhLanca	Recayd Mob	57	3oIr6neILMnPkN8AhyHjKU	OhUhLanca	2019-02-08	Trap Funk	3oIr6neILMnPkN8AhyHjKU	0.834_0.89	1	-2.38	1	0.196	0.296	0	0.311	0.613	130.036	228923	trap	NA	NA
36isOggheKbLhjSVJtUnnS	Pode Confessar	PK Delas	38	36isOggheKbLhjSVJtUnnS	Pode Confessar	2019-06-28	Trap Funk	36isOggheKbLhjSVJtUnnS	0.763_0.687	4	-6.686	0	0.146	0.074	0	0.0922	0.506	155.1	128460	trap	NA	NA
4UTdS9XCIesvyWqof7PBKd	Foda-Se a Ex	MC Cabelinho	52	4UTdS9XCIesvyWqof7PBKd	Foda-Se a Ex	2019-07-03	Trap Funk	4UTdS9XCIesvyWqof7PBKd	0.79_0.803	1	-5.123	0	0.11	0.402	6.88203291757964	0.122	0.799	133.032	153383	trap	NA	NA
7MvJpa1J0PV3gqkkIBCMpg	Pode Confiar	Mc Leo da Baixada	34	7MvJpa1J0PV3gqkkIBCMpg	Pode Confiar	2019-06-18	Trap Funk	7MvJpa1J0PV3gqkkIBCMpg	0.604_0.681	6	-6.496	0	0.261	0.766	0	0.123	0.462	89.923	143868	trap	NA	NA
2tgTqKVSIgg1Jhgv8d6iYg	Lambe La	Azzy	43	2tgTqKVSIgg1Jhgv8d6iYg	Lambe La	2019-10-01	Trap Funk	2tgTqKVSIgg1Jhgv8d6iYg	0.883_0.506	5	-7.089	0	0.0497	0.0355	0.000756	0.0963	0.277	120.018	163400	trap	NA	NA
2hRecZEvSXfGkSB40d4CaL	Assim	Felipe Flip	36	2hRecZEvSXfGkSB40d4CaL	Chama Legal	2019-04-26	Trap Funk	2hRecZEvSXfGkSB40d4CaL	0.788_0.64	3	-9.168	0	0.0996	0.0476	2.32e-05	0.113	0.572	97.073	203179	trap	NA	NA
4bvuahcw0Xj29K92NKLms5	Fresh	Choice	40	4bvuahcw0Xj29K92NKLms5	Fresh	2019-08-02	Trap Funk	4bvuahcw0Xj29K92NKLms5	0.456_0.687	9	-6.059	0	0.188	0.0267	2.62e-05	0.105	0.294	129.892	339692	trap	NA	NA
50UCuqOKxSCm2mU6Ci0lp8	Maria Gasolina	MC Hariel	50	50UCuqOKxSCm2mU6Ci0lp8	Maria Gasolina	2019-06-19	Trap Funk	50UCuqOKxSCm2mU6Ci0lp8	0.774_0.683	10	-4.416	0	0.233	0.133	0	0.0807	0.457	149.938	205800	trap	NA	NA
0ASiR17kpfgI59yiu7lw99	Festa das Delicias	Raufao	38	0ASiR17kpfgI59yiu7lw99	Festa das Delicias	2019-05-24	Trap Funk	0ASiR17kpfgI59yiu7lw99	0.733_0.567	5	-5.856	0	0.176	0.273	1.25654755034484	0.106	0.413	116.998	153391	trap	NA	NA
7L3m2Z8yi0ZQbWViF541RC	Ela Me Usa e Abusa	MC Loma e As Gemeas Lacracao	49	7L3m2Z8yi0ZQbWViF541RC	Ela Me Usa e Abusa	2019-05-17	Trap Funk	7L3m2Z8yi0ZQbWViF541RC	0.892_0.852	4	-1.958	0	0.115	0.357	0	0.0849	0.355	100.011	138000	trap	NA	NA
0fDXd6UXam6MUuaK8lihwJ	Nao Pisa no Meu Boot	MC Caverinha	60	0fDXd6UXam6MUuaK8lihwJ	Nao Pisa no Meu Boot	2019-04-01	Trap Funk	0fDXd6UXam6MUuaK8lihwJ	0.95_0.303	7	-15.73	1	0.355	0.306	0	0.115	0.421	120.015	164000	trap	NA	NA
