track_id	ZZtrack_name89	track_artist	track_popularity	track_album_id	track_album_name	track_album_release_date	playlist_name	playlist_id	danceability-energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	pop	rap	rock	r&b	edm
0q6ku8ljaOYoxs80gYrW8r	This is Our Song	Demi Lovato	44	0q6ku8ljaOYoxs80gYrW8r	Camp Rock 2: The Final Jam	2010-01-01	Post teen pop	0q6ku8ljaOYoxs80gYrW8r	0.351_0.626	7	-5.314	1	0.0358	0.0867	0	0.0937	0.394	129.568	178333	post-teen pop	NA	NA	NA	NA
6RC5tEJEye1m0ilNfzjf3K	Gotta Find You	Joe Jonas	45	6RC5tEJEye1m0ilNfzjf3K	Camp Rock OST	2008-01-01	Post teen pop	6RC5tEJEye1m0ilNfzjf3K	0.463_0.726	11	-5.126	1	0.03	0.0589	0	0.0861	0.473	82.006	241867	post-teen pop	NA	NA	NA	NA
2JQRlt3HpTCpRvcfDsbwic	This Is Me	Demi Lovato	50	2JQRlt3HpTCpRvcfDsbwic	Camp Rock OST	2008-01-01	Post teen pop	2JQRlt3HpTCpRvcfDsbwic	0.497_0.822	1	-2.863	1	0.0399	0.011	0	0.0947	0.58	90.992	189173	post-teen pop	NA	NA	NA	NA
6xg61PHNCLvQClEJrT9p0V	What it Takes	Aaryn Doyle	31	6xg61PHNCLvQClEJrT9p0V	Camp Rock OST	2008-01-01	Post teen pop	6xg61PHNCLvQClEJrT9p0V	0.71_0.871	2	-6.196	1	0.0794	0.369	3.52e-06	0.297	0.647	100.983	161920	post-teen pop	NA	NA	NA	NA
0CNuwuX6yEMcQYsCnwUfaV	Dynamite	China Anne McClain	35	0CNuwuX6yEMcQYsCnwUfaV	A.N.T. Farm (Original Soundtrack)	2012-01-01	Post teen pop	0CNuwuX6yEMcQYsCnwUfaV	0.659_0.789	6	-3.444	1	0.0717	0.184	0	0.0535	0.493	121.947	162960	post-teen pop	NA	NA	NA	NA
34iOdwktu3ZDhujxpsAqe7	Stuck On You	Nick Strand	39	34iOdwktu3ZDhujxpsAqe7	Stuck On You	2019-09-20	post-teen alternative, indie, pop (large variety)	34iOdwktu3ZDhujxpsAqe7	0.58_0.664	1	-2.866	0	0.0748	0.429	0	0.146	0.436	146.001	158467	post-teen pop	NA	NA	NA	NA
7vmiKOPQuGBV3Q2z3He5e9	Down Low	Astrid S	55	7vmiKOPQuGBV3Q2z3He5e9	Down Low	2019-09-26	post-teen alternative, indie, pop (large variety)	7vmiKOPQuGBV3Q2z3He5e9	0.554_0.35	6	-5.378	0	0.0287	0.799	1.39e-06	0.317	0.333	86.331	202007	post-teen pop	NA	NA	NA	NA
5WEAZtjEufELtaxqYcqCJg	Years	Astrid S	69	5WEAZtjEufELtaxqYcqCJg	Down Low	2019-09-26	post-teen alternative, indie, pop (large variety)	5WEAZtjEufELtaxqYcqCJg	0.664_0.285	9	-7.907	1	0.0342	0.855	0	0.0952	0.256	124.148	190268	post-teen pop	NA	NA	NA	NA
4poybupy26pTWPr9zY1i7h	Some Say	Nea	81	4poybupy26pTWPr9zY1i7h	Some Say	2019-09-06	post-teen alternative, indie, pop (large variety)	4poybupy26pTWPr9zY1i7h	0.779_0.342	3	-6.316	0	0.0404	0.701	2.56e-06	0.132	0.482	104.993	175602	post-teen pop	NA	NA	NA	NA
5VGBgPVFO3e0lWz4WHYntQ	All For Love	Tungevaag & Raaban	68	5VGBgPVFO3e0lWz4WHYntQ	All For Love	2018-03-23	post-teen alternative, indie, pop (large variety)	5VGBgPVFO3e0lWz4WHYntQ	0.689_0.901	7	-1.431	1	0.0678	0.145	1.03e-05	0.459	0.651	125.115	180485	post-teen pop	NA	NA	NA	NA
2JtuQZHQAtNO13O8KLQSxE	Boys Like You	Anna Clendening	69	2JtuQZHQAtNO13O8KLQSxE	Boys Like You	2018-06-01	post-teen alternative, indie, pop (large variety)	2JtuQZHQAtNO13O8KLQSxE	0.664_0.607	2	-8.822	1	0.113	0.23	0	0.164	0.541	95.958	187349	post-teen pop	NA	NA	NA	NA
33NUt06BeLIeJyf4YJtGoh	Slow Dance (feat. Ava Max)	AJ Mitchell	41	33NUt06BeLIeJyf4YJtGoh	Slow Dance	2019-08-23	post-teen alternative, indie, pop (large variety)	33NUt06BeLIeJyf4YJtGoh	0.692_0.443	1	-5.671	1	0.0386	0.214	0	0.06	0.363	127.899	178800	post-teen pop	NA	NA	NA	NA
2y8iBf0QRqCKFtePi9Rl2H	Why Do You Love Me	Charlotte Lawrence	68	2y8iBf0QRqCKFtePi9Rl2H	Why Do You Love Me	2019-07-19	post-teen alternative, indie, pop (large variety)	2y8iBf0QRqCKFtePi9Rl2H	0.81_0.305	8	-6.165	0	0.0902	0.28	0.000116	0.203	0.732	120.013	171908	post-teen pop	NA	NA	NA	NA
5naYe7rLMZcLfO1DKg48MK	All Day And Night	Jax Jones	75	5naYe7rLMZcLfO1DKg48MK	Snacks	2019-07-12	post-teen alternative, indie, pop (large variety)	5naYe7rLMZcLfO1DKg48MK	0.567_0.765	1	-4.107	0	0.108	0.317	0	0.14	0.541	121.924	169467	post-teen pop	NA	NA	NA	NA
1mJYgCniedO0tBpAGCL1vO	Sidelove	Astrid S	54	1mJYgCniedO0tBpAGCL1vO	Down Low	2019-09-26	post-teen alternative, indie, pop (large variety)	1mJYgCniedO0tBpAGCL1vO	0.753_0.343	8	-5.607	1	0.0337	0.799	0	0.104	0.511	137.872	172154	post-teen pop	NA	NA	NA	NA
3ZCTVFBt2Brf31RLEnCkWJ	everything i wanted	Billie Eilish	97	3ZCTVFBt2Brf31RLEnCkWJ	everything i wanted	2019-11-13	post-teen alternative, indie, pop (large variety)	3ZCTVFBt2Brf31RLEnCkWJ	0.704_0.225	6	-14.454	0	0.0994	0.902	0.657	0.106	0.243	120.006	245426	post-teen pop	NA	NA	NA	NA
1ioqD1XvFGDomjXkKNCBQB	Doing To Me	Astrid S	66	1ioqD1XvFGDomjXkKNCBQB	Trust Issues	2019-08-30	post-teen alternative, indie, pop (large variety)	1ioqD1XvFGDomjXkKNCBQB	0.718_0.762	0	-5.006	0A	0.0571	0.284	1.58e-06	0.0971	0.368	132.893	190098	post-teen pop	NA	NA	NA	NA
2nMeu6UenVvwUktBCpLMK9	Young And Beautiful	Lana Del Rey	75	2nMeu6UenVvwUktBCpLMK9	Young And Beautiful	2013-01-01	post-teen alternative, indie, pop (large variety)	2nMeu6UenVvwUktBCpLMK9	0.324_0.416	11	-8.92	0	0.0368	0.262	3.69e-05	0.11	0.151	113.986	236053	post-teen pop	NA	NA	NA	NA
2XU0oxnq2qxCpomAAuJY8K	Dance Monkey	Tones and I	100	2XU0oxnq2qxCpomAAuJY8K	Dance Monkey (Stripped Back) / Dance Monkey	2019-10-17	post-teen alternative, indie, pop (large variety)	2XU0oxnq2qxCpomAAuJY8K	0.824_0.588	6	-6.4	0	0.0924	0.692	0.000104	0.149	0.513	98.027	209438	post-teen pop	NA	NA	NA	NA
76bvw5EDyhm1b3dfsOToYG	The Kids Are Coming	Tones and I	69	76bvw5EDyhm1b3dfsOToYG	The Kids Are Coming	2019-08-29	post-teen alternative, indie, pop (large variety)	76bvw5EDyhm1b3dfsOToYG	0.753_0.566	9	-8.21	0	0.298	0.193	6.31e-05	0.14	0.154	135.039	204521	post-teen pop	NA	NA	NA	NA
7BooBD8k8ABLTFLzgxcT5G	Johnny Run Away	Tones and I	71	7BooBD8k8ABLTFLzgxcT5G	The Kids Are Coming	2019-08-29	post-teen alternative, indie, pop (large variety)	7BooBD8k8ABLTFLzgxcT5G	0.799_0.538	2	-4.775	1	0.0622	0.642	1.23e-06	0.107	0.582	92.452	192346	post-teen pop	NA	NA	NA	NA
4kRT3cCwp0uYEqh4hHvxZS	Jimmy	Tones and I	68	4kRT3cCwp0uYEqh4hHvxZS	The Kids Are Coming	2019-08-29	post-teen alternative, indie, pop (large variety)	4kRT3cCwp0uYEqh4hHvxZS	0.592_0.464	8	-5.956	1	0.0346	0.473	1.13e-06	0.125	0.182	68.11	223620	post-teen pop	NA	NA	NA	NA
2kJwzbxV2ppxnQoYw4GLBZ	If The World Was Ending (feat. Julia Michaels)	JP Saxe	88	2kJwzbxV2ppxnQoYw4GLBZ	If The World Was Ending (feat. Julia Michaels)	2019-10-17	post-teen alternative, indie, pop (large variety)	2kJwzbxV2ppxnQoYw4GLBZ	0.464_0.473	1	-10.086	1	0.129	0.866	0	0.109	0.604	75.801	208687	post-teen pop	NA	NA	NA	NA
5fmBkJa4mTezkJq8B1TgSn	Colourblind	Tones and I	67	5fmBkJa4mTezkJq8B1TgSn	The Kids Are Coming	2019-08-29	post-teen alternative, indie, pop (large variety)	5fmBkJa4mTezkJq8B1TgSn	0.493_0.154	9	-9.996	0	0.0367	0.729	0	0.0747	0.115	98.38	206094	post-teen pop	NA	NA	NA	NA
7DoNtK2gVFRwJh0hkHe5wQ	Easy	Camila Cabello	73	7DoNtK2gVFRwJh0hkHe5wQ	Romance	2019-12-06	post-teen alternative, indie, pop (large variety)	7DoNtK2gVFRwJh0hkHe5wQ	0.574_0.593	4	-5.731	0	0.0463	0.411	1.55e-06	0.0966	0.355	128.073	194686	post-teen pop	NA	NA	NA	NA
4HBvwhhYo7YiYXkUDrOHzS	Trampoline	SHAED	65	4HBvwhhYo7YiYXkUDrOHzS	Melt (Deluxe)	2019-12-27	post-teen alternative, indie, pop (large variety)	4HBvwhhYo7YiYXkUDrOHzS	0.619_0.459	7	-5.782	0A	0.0334	0.56	0	0.137	0.498	126.803	184280	post-teen pop	NA	NA	NA	NA
073ILU1C3APNRGF66VhtyA	Liar	Camila Cabello	77	073ILU1C3APNRGF66VhtyA	Romance	2019-12-06	post-teen alternative, indie, pop (large variety)	073ILU1C3APNRGF66VhtyA	0.74_0.498	11	-6.684	0	0.0456	0.0169	0.00282	0.319	0.652	98.016	207039	post-teen pop	NA	NA	NA	NA
2ogKhhoMClkFXek7ZgxAhN	Shameless	Camila Cabello	73	2ogKhhoMClkFXek7ZgxAhN	Romance	2019-12-06	post-teen alternative, indie, pop (large variety)	2ogKhhoMClkFXek7ZgxAhN	0.377_0.651	4	-5.437	0	0.0588	0.0197	5.31e-05	0.174	0.0851	129.698	219742	post-teen pop	NA	NA	NA	NA
1mpD5Q8IM32I4bF6eCpU74	Up All Night	Khalid	87	1mpD5Q8IM32I4bF6eCpU74	Up All Night	2019-11-14	post-teen alternative, indie, pop (large variety)	1mpD5Q8IM32I4bF6eCpU74	0.665_0.712	1	-7.536	1	0.0527	0.00103	0.00342	0.102	0.669	93.989	157220	post-teen pop	NA	NA	NA	NA
0G7Ik0gmxJBFJKAmK2p1k9	Someone New	Astrid S	60	0G7Ik0gmxJBFJKAmK2p1k9	Someone New	2019-02-01	post-teen alternative, indie, pop (large variety)	0G7Ik0gmxJBFJKAmK2p1k9	0.881_0.697	0	-5.613	1A	0.27	0.129	1.39e-06	0.0834	0.434	97.012	176618	post-teen pop	NA	NA	NA	NA
6l7lX8hJXVIUyPrTaabpqk	Ready	Alessia Cara	77	6l7lX8hJXVIUyPrTaabpqk	Ready	2019-07-22	post-teen alternative, indie, pop (large variety)	6l7lX8hJXVIUyPrTaabpqk	0.529_0.496	0	-6.668	0	0.151	0.214	0	0.212	0.588	74.619	178747	post-teen pop	NA	NA	NA	NA
1cL3ucXzG2hj3XOUPIWdvZ	Feelings	Lauv	69	1cL3ucXzG2hj3XOUPIWdvZ	how im feeling	2019-11-14	post-teen alternative, indie, pop (large variety)	1cL3ucXzG2hj3XOUPIWdvZ	0.694_0.466	9	-6.758	1	0.0384	0.0934	0	0.098	0.246	103.018	189613	post-teen pop	NA	NA	NA	NA
3Lp8Xd2K7TwlY32SPvXkvF	Lonely	Noah Cyrus	75	3Lp8Xd2K7TwlY32SPvXkvF	Lonely	2019-09-27	post-teen alternative, indie, pop (large variety)	3Lp8Xd2K7TwlY32SPvXkvF	0.594_0.26	5	-9.062	1	0.0601	0.779	0	0.0924	0.303	84.648	144387	post-teen pop	NA	NA	NA	NA
5i2JGF65pHKSfMEjSMrBC3	Jesus In LA	Alec Benjamin	77	5i2JGF65pHKSfMEjSMrBC3	Jesus In LA	2019-07-16	post-teen alternative, indie, pop (large variety)	5i2JGF65pHKSfMEjSMrBC3	0.767_0.627	0	-4.096	1A	0.0401	0.537	0	0.359	0.689	94.028	172606	post-teen pop	NA	NA	NA	NA
7vLR7NDAadIXfWjl2nw5Nr	Haloes	Ina Wroldsen	64	7vLR7NDAadIXfWjl2nw5Nr	Haloes	2019-09-20	post-teen alternative, indie, pop (large variety)	7vLR7NDAadIXfWjl2nw5Nr	0.704_0.719	3	-4.05	1	0.0343	0.42	0	0.18	0.33	103.018	171344	post-teen pop	NA	NA	NA	NA
2GdxQw8NwoeH8tKySg6nym	Torn	Ava Max	81	2GdxQw8NwoeH8tKySg6nym	Torn	2019-08-19	post-teen alternative, indie, pop (large variety)	2GdxQw8NwoeH8tKySg6nym	0.664_0.831	2	-4.472	0	0.0435	0.111	1.42e-06	0.0596	0.696	125.058	198006	post-teen pop	NA	NA	NA	NA
7uYIX9O9DY6l1D3HiwHR1J	Freaking Me Out	Ava Max	76	7uYIX9O9DY6l1D3HiwHR1J	Freaking Me Out	2019-07-31	post-teen alternative, indie, pop (large variety)	7uYIX9O9DY6l1D3HiwHR1J	0.429_0.553	1	-4.838	0	0.0669	0.458	0	0.0766	0.382	97.954	192456	post-teen pop	NA	NA	NA	NA
25sgk305KZfyuqVBQIahim	Sweet but Psycho	Ava Max	87	25sgk305KZfyuqVBQIahim	Sweet but Psycho	2018-08-17	post-teen alternative, indie, pop (large variety)	25sgk305KZfyuqVBQIahim	0.719_0.704	1	-4.724	1	0.0476	0.0691	0	0.166	0.628	133.002	187436	post-teen pop	NA	NA	NA	NA
0uUNN1nSoUx1A4fkDCWDQ7	So Am I	Ava Max	83	0uUNN1nSoUx1A4fkDCWDQ7	So Am I	2019-03-07	post-teen alternative, indie, pop (large variety)	0uUNN1nSoUx1A4fkDCWDQ7	0.682_0.656	6	-4.67	1	0.0435	0.0737	0	0.353	0.607	130.089	183027	post-teen pop	NA	NA	NA	NA
3gJ6t0HKTMto4Aq3sXJVk2	My Way	Ava Max	62	3gJ6t0HKTMto4Aq3sXJVk2	My Way	2018-04-20	post-teen alternative, indie, pop (large variety)	3gJ6t0HKTMto4Aq3sXJVk2	0.685_0.621	9	-4.877	0	0.0412	0.0623	0	0.0901	0.396	100.004	141598	post-teen pop	NA	NA	NA	NA
2wenGTypSYHXl1sN1pNC7X	Slow Dance (feat. Ava Max) - Sam Feldt Remix	AJ Mitchell	70	2wenGTypSYHXl1sN1pNC7X	Slow Dance (feat. Ava Max) [Sam Feldt Remix]	2019-10-25	post-teen alternative, indie, pop (large variety)	2wenGTypSYHXl1sN1pNC7X	0.732_0.85	1	-5.999	1	0.0444	0.114	2.02e-06	0.0388	0.372	124.024	193548	post-teen pop	NA	NA	NA	NA
3g0mEQx3NTanacLseoP0Gw	Takeaway	The Chainsmokers	85	3g0mEQx3NTanacLseoP0Gw	World War Joy	2019-12-06	post-teen alternative, indie, pop (large variety)	3g0mEQx3NTanacLseoP0Gw	0.528_0.511	3	-8.144	1	0.0324	0.126	0	0.101	0.351	100.1	209880	post-teen pop	NA	NA	NA	NA
2gMXnyrvIjhVBUZwvLZDMP	Before You Go	Lewis Capaldi	83	2gMXnyrvIjhVBUZwvLZDMP	Divinely Uninspired To A Hellish Extent (Extended Edition)	2019-11-22	post-teen alternative, indie, pop (large variety)	2gMXnyrvIjhVBUZwvLZDMP	0.459_0.575	3	-4.858	1	0.0573	0.604	0	0.0885	0.183	111.881	215107	post-teen pop	NA	NA	NA	NA
2I43coEbzFSTMGO3kCjLMB	Daylight	Matt and Kim	10	2I43coEbzFSTMGO3kCjLMB	Grand	2009	post-teen alternative, indie, pop (large variety)	2I43coEbzFSTMGO3kCjLMB	0.583_0.79	9	-4.885	1	0.0319	0.0851	0.000387	0.11	0.714	103.286	171333	post-teen pop	NA	NA	NA	NA
1D1nixOVWOxvNfWi0UD7VX	Unwritten	Natasha Bedingfield	76	1D1nixOVWOxvNfWi0UD7VX	Unwritten	2004-08-30	post-teen alternative, indie, pop (large variety)	1D1nixOVWOxvNfWi0UD7VX	0.706_0.801	5	-6.333	1	0.0399	0.00577	0	0.0822	0.63	100.013	259333	post-teen pop	NA	NA	NA	NA
0xMd5bcWTbyXS7wPrBtZA6	Burn	Ellie Goulding	65	0xMd5bcWTbyXS7wPrBtZA6	Halcyon Days	2013-01-01	post-teen alternative, indie, pop (large variety)	0xMd5bcWTbyXS7wPrBtZA6	0.559_0.777	1	-5.031	1	0.0432	0.31	5.73457444396336	0.105	0.329	87.016	231212	post-teen pop	NA	NA	NA	NA
5ka2ajep9OAvU5Sgduhiex	Applause	Lady Gaga	70	5ka2ajep9OAvU5Sgduhiex	ARTPOP	2013-11-11	post-teen alternative, indie, pop (large variety)	5ka2ajep9OAvU5Sgduhiex	0.669_0.78	7	-4.287	0	0.053	0.0265	1.63e-06	0.143	0.738	139.945	212333	post-teen pop	NA	NA	NA	NA
0QkWikH5Z3U0f79T9iuF6c	Judas	Lady Gaga	56	0QkWikH5Z3U0f79T9iuF6c	Born This Way	2011-01-01	post-teen alternative, indie, pop (large variety)	0QkWikH5Z3U0f79T9iuF6c	0.661_0.937	10	-3.83	0	0.0744	0.000967	1.59e-05	0.355	0.535	131.001	249067	post-teen pop	NA	NA	NA	NA
1uXbwHHfgsXcUKfSZw5ZJ0	Run the World (Girls)	Beyonce	75	1uXbwHHfgsXcUKfSZw5ZJ0	4	2011-06-24	post-teen alternative, indie, pop (large variety)	1uXbwHHfgsXcUKfSZw5ZJ0	0.733_0.899	0	-4.237	1	0.143	0.00496	4.72e-05	0.372	0.76	127.086	236093	post-teen pop	NA	NA	NA	NA
4h8VwCb1MTGoLKueQ1WgbD	Wake Me Up	Avicii	84	4h8VwCb1MTGoLKueQ1WgbD	True	2013-01-01	post-teen alternative, indie, pop (large variety)	4h8VwCb1MTGoLKueQ1WgbD	0.532_0.783	2	-5.697	1	0.0523	0.0038	0.0012	0.161	0.643	124.08	247427	post-teen pop	NA	NA	NA	NA
6Z8R6UsFuGXGtiIxiD8ISb	Safe And Sound	Capital Cities	77	6Z8R6UsFuGXGtiIxiD8ISb	In A Tidal Wave Of Mystery (Deluxe Edition)	2013	post-teen alternative, indie, pop (large variety)	6Z8R6UsFuGXGtiIxiD8ISb	0.655_0.819	0	-4.852	1	0.0316	0.000176	0.00374	0.104	0.766	117.956	192790	post-teen pop	NA	NA	NA	NA
3LlAyCYU26dvFZBDUIMb7a	Demons	Imagine Dragons	72	3LlAyCYU26dvFZBDUIMb7a	Night Visions	2012-09-04	post-teen alternative, indie, pop (large variety)	3LlAyCYU26dvFZBDUIMb7a	0.505_0.71	3	-3.015	1	0.0321	0.19	0.00025	0.329	0.428	89.938	175200	post-teen pop	NA	NA	NA	NA
5Sf3GyLEAzJXxZ5mbCPXTu	Waves - Robin Schulz Radio Edit	Mr. Probz	76	5Sf3GyLEAzJXxZ5mbCPXTu	Waves (Robin Schulz Radio Edit)	2014-02-07	post-teen alternative, indie, pop (large variety)	5Sf3GyLEAzJXxZ5mbCPXTu	0.829_0.51	5	-9.334	0	0.0369	0.00821	0.0014	0.0829	0.45	119.993	208133	post-teen pop	NA	NA	NA	NA
7IohFKIwrb75c4XaqX7WWo	This Is Love	will.i.am	60	7IohFKIwrb75c4XaqX7WWo	willpower (Deluxe)	2013-01-01	post-teen alternative, indie, pop (large variety)	7IohFKIwrb75c4XaqX7WWo	0.535_0.796	0	-3.446	0	0.0445	0.00473	0	0.145	0.282	128.952	279027	post-teen pop	NA	NA	NA	NA
3cHyrEgdyYRjgJKSOiOtcS	Timber (feat. Ke$ha)	Pitbull	76	3cHyrEgdyYRjgJKSOiOtcS	Global Warming: Meltdown (Deluxe Version)	2012	post-teen alternative, indie, pop (large variety)	3cHyrEgdyYRjgJKSOiOtcS	0.581_0.963	11	-4.087	1	0.0981	0.0295	0	0.139	0.788	129.992	204160	post-teen pop	NA	NA	NA	NA
4QNpBfC0zvjKqPJcyqBy9W	Give Me Everything	Pitbull	79	4QNpBfC0zvjKqPJcyqBy9W	Planet Pit (Deluxe Version)	2011-06-17	post-teen alternative, indie, pop (large variety)	4QNpBfC0zvjKqPJcyqBy9W	0.671_0.939	8	-3.206	1	0.161	0.192	0	0.298	0.529	129.023	252307	post-teen pop	NA	NA	NA	NA
1oHNvJVbFkexQc0BpQp7Y4	Starships	Nicki Minaj	69	1oHNvJVbFkexQc0BpQp7Y4	Pink Friday ... Roman Reloaded	2011-01-01	post-teen alternative, indie, pop (large variety)	1oHNvJVbFkexQc0BpQp7Y4	0.747_0.716	11	-2.457	0	0.075	0.135	0	0.251	0.751	125.008	210627	post-teen pop	NA	NA	NA	NA
1MtUq6Wp1eQ8PC6BbPCj8P	I Took A Pill In Ibiza - Seeb Remix	Mike Posner	73	1MtUq6Wp1eQ8PC6BbPCj8P	At Night, Alone.	2016-05-06	post-teen alternative, indie, pop (large variety)	1MtUq6Wp1eQ8PC6BbPCj8P	0.663_0.713	7	-6.647	0	0.112	0.0353	7.68e-06	0.0843	0.69	101.965	197933	post-teen pop	NA	NA	NA	NA
3gbBpTdY8lnQwqxNCcf795	Pompeii	Bastille	70	3gbBpTdY8lnQwqxNCcf795	Bad Blood	2013-01-01	post-teen alternative, indie, pop (large variety)	3gbBpTdY8lnQwqxNCcf795	0.679_0.715	9	-6.383	1	0.0407	0.0755	0	0.271	0.571	127.435	214148	post-teen pop	NA	NA	NA	NA
0sf12qNH5qcw8qpgymFOqD	Blinding Lights	The Weeknd	98	0sf12qNH5qcw8qpgymFOqD	Blinding Lights	2019-11-29	post-teen alternative, indie, pop (large variety)	0sf12qNH5qcw8qpgymFOqD	0.513_0.796	1	-4.075	1	0.0629	0.00147	0.000209	0.0938	0.345	171.017	201573	post-teen pop	NA	NA	NA	NA
6TfeXwJihJRuBW3mFpib6J	DANCE	CLMD	76	6TfeXwJihJRuBW3mFpib6J	DANCE	2019-10-18	post-teen alternative, indie, pop (large variety)	6TfeXwJihJRuBW3mFpib6J	0.766_0.548	7	-7.834	1	0.0373	0.0263	7.22332683964632	0.21	0.552	122.012	174448	post-teen pop	NA	NA	NA	NA
0eQJy4VAW7AkhKIHzXx3jG	The First One	Astrid S	67	0eQJy4VAW7AkhKIHzXx3jG	The First One	2019-05-24	post-teen alternative, indie, pop (large variety)	0eQJy4VAW7AkhKIHzXx3jG	0.538_0.541	7	-8.304	1	0.16	0.39	0	0.103	0.183	159.419	188650	post-teen pop	NA	NA	NA	NA
3gicyfiEVMGONgzygpWjNT	Grip	Seeb	73	3gicyfiEVMGONgzygpWjNT	Grip	2018-12-06	post-teen alternative, indie, pop (large variety)	3gicyfiEVMGONgzygpWjNT	0.598_0.904	4	-2.293	1A	0.0507	0.331	0	0.264	0.503	138.091	198075	post-teen pop	NA	NA	NA	NA
1e9oZCCiX42nJl0AcqriVo	Watermelon Sugar	Harry Styles	90	1e9oZCCiX42nJl0AcqriVo	Watermelon Sugar	2019-11-17	post-teen alternative, indie, pop (large variety)	1e9oZCCiX42nJl0AcqriVo	0.548_0.816	0	-4.209	1	0.0465	0.122	0	0.335	0.557	95.39	174000	post-teen pop	NA	NA	NA	NA
1rfofaqEpACxVEHIZBJe6W	Havana (feat. Young Thug)	Camila Cabello	84	1rfofaqEpACxVEHIZBJe6W	Camila	2018-01-12	Post pop teen	1rfofaqEpACxVEHIZBJe6W	0.765_0.523	2	-4.333	1	0.03	0.184	3.4639730165014	0.132	0.394	104.988	217307	post-teen pop	NA	NA	NA	NA
