track_id	ZZtrack_name89	track_artist	track_popularity	track_album_id	track_album_name	track_album_release_date	playlist_name	playlist_id	danceability-energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	rap	rock	latin	r&b
6YfTl5YupXOQBKiJJLrxcw	Death (feat. DaBaby)	Trippie Redd	82	6YfTl5YupXOQBKiJJLrxcw	Death (feat. DaBaby)	2019-11-12	RapCaviar	6YfTl5YupXOQBKiJJLrxcw	0.802_0.82	10	-5.969	0	0.146	0.0579	0	0.149	0.613	164.005	172196	hip hop	NA	NA	NA
0fySG6A6qLE8IvDpayb5bM	VIBEZ	DaBaby	88	0fySG6A6qLE8IvDpayb5bM	KIRK	2019-09-27	RapCaviar	0fySG6A6qLE8IvDpayb5bM	0.768_0.652	1	-2.708	0	0.307	0.113	0	0.107	0.777	154.187	144935	hip hop	NA	NA	NA
09TZsMHXEtQkdmMJZPLKup	UP THE SMOKE (with Offset)	Stunna 4 Vegas	81	09TZsMHXEtQkdmMJZPLKup	UP THE SMOKE (with Offset)	2019-11-08	RapCaviar	09TZsMHXEtQkdmMJZPLKup	0.907_0.765	4	-7.043	1	0.426	0.0512	0	0.153	0.896	142.992	188048	hip hop	NA	NA	NA
3Gzcb65waeZYidm0vSaelM	Red Light	Tee Grizzley	56	3Gzcb65waeZYidm0vSaelM	Red Light	0.5-01-17	RapCaviar	3Gzcb65waeZYidm0vSaelM	0.846_0.716	1	-5.516	1	0.236	0.00101	5.06903192673344	0.244	0.213	98.005	127347	hip hop	NA	NA	NA
3VyjsVV24RmBIbWJAeUJNu	No Idea	Don Toliver	92	3VyjsVV24RmBIbWJAeUJNu	No Idea	2019-05-29	RapCaviar	3VyjsVV24RmBIbWJAeUJNu	0.656_0.614	6	-4.973	0Q	0.102	0.558	0.000862	0.215	0.35	128.038	153750	hip hop	NA	NA	NA
735RSTb2xbtWbDtKD9XDYi	Somebody	Internet Money	83	735RSTb2xbtWbDtKD9XDYi	Somebody	2019-10-11	RapCaviar	735RSTb2xbtWbDtKD9XDYi	0.63_0.671	6	-6.659	0	0.256	0.363	0	0.113	0.333	89.921	174333	hip hop	NA	NA	NA
35Xf2ABjPzUXKz19akd7Jj	Famous Hoes	NLE Choppa	80	35Xf2ABjPzUXKz19akd7Jj	Famous Hoes	2019-12-10	RapCaviar	35Xf2ABjPzUXKz19akd7Jj	0.732_0.627	4	-5.693	0Q	0.161	0.346	0	0.261	0.332	81.481	135460	hip hop	NA	NA	NA
0eHFPf7gom9ztF7Jc6FP6C	What I Please (feat. Denzel Curry)	Smokepurpp	74	0eHFPf7gom9ztF7Jc6FP6C	What I Please (feat. Denzel Curry)	2019-12-11	RapCaviar	0eHFPf7gom9ztF7Jc6FP6C	0.803_0.709	10	-8.164	0	0.327	0.0352	0	0.122	0.54	139.877	140591	hip hop	NA	NA	NA
3yD2LWeCCFu7ybBO3lwbXM	U Played (feat. Lil Baby)	Moneybagg Yo	73	3yD2LWeCCFu7ybBO3lwbXM	U Played (feat. Lil Baby)	0.5-01-03	RapCaviar	3yD2LWeCCFu7ybBO3lwbXM	0.876_0.847	2	-3.574	1	0.232	0.00335	4.62626718610991	0.293	0.882	134.963	164754	hip hop	NA	NA	NA
05JdgtCKkZ5CoOjM5KS4EG	Camelot (feat. Yo Gotti, BlocBoy JB & Moneybagg Yo) - Remix	NLE Choppa	77	05JdgtCKkZ5CoOjM5KS4EG	Camelot (feat. Yo Gotti, BlocBoy JB & Moneybagg Yo) [Remix]	2019-12-06	RapCaviar	05JdgtCKkZ5CoOjM5KS4EG	0.79_0.88	7	-1.983	1	0.376	0.324	0	0.0829	0.857	175.013	198694	hip hop	NA	NA	NA
4IO8X9W69dIQe0EC5ALXhq	Immortal	21 Savage	83	4IO8X9W69dIQe0EC5ALXhq	Immortal	2019-10-31	RapCaviar	4IO8X9W69dIQe0EC5ALXhq	0.741_0.87	6	-3.494	0	0.503	0.00813	0	0.114	0.663	184.194	254723	hip hop	NA	NA	NA
66FltlEV09mPJYAyfYm8De	Bang Bang	YNW Melly	78	66FltlEV09mPJYAyfYm8De	Melly vs. Melvin	2019-11-22	RapCaviar	66FltlEV09mPJYAyfYm8De	0.657_0.522	10	-7.632	1	0.397	0.156	5.8600601920858	0.0811	0.442	179.687	260333	hip hop	NA	NA	NA
1K2xWMZP8mgMXAR5SpcLQu	Heart On Ice - Remix	Rod Wave	70	1K2xWMZP8mgMXAR5SpcLQu	Ghetto Gospel	2019-11-01	RapCaviar	1K2xWMZP8mgMXAR5SpcLQu	0.762_0.372	10	-11.26	0	0.174	0.165	0	0.139	0.315	79.037	195190	hip hop	NA	NA	NA
364spZLB5bhNlnPrzvUB41	Reply (feat. Lil Uzi Vert)	A Boogie Wit da Hoodie	79	364spZLB5bhNlnPrzvUB41	Reply (feat. Lil Uzi Vert)	2019-11-15	RapCaviar	364spZLB5bhNlnPrzvUB41	0.512_0.623	9	-6.553	0	0.0808	0.0187	0	0.13	0.219	112.15	183589	hip hop	NA	NA	NA
4E08gEca6avoGx5SS4MM6T	G Walk (with Chris Brown)	Lil Mosey	52	4E08gEca6avoGx5SS4MM6T	G Walk (with Chris Brown)	2019-06-07	RapCaviar	4E08gEca6avoGx5SS4MM6T	0.744_0.709	0	-5.359	1	0.101	0.275	3.47222260846756	0.126	0.72	89.969	141333	hip hop	NA	NA	NA
050ud0e5cmIYjmXplDugVQ	Ready Set (feat. Big Sean)	Kash Doll	73	050ud0e5cmIYjmXplDugVQ	Stacked	2019-10-18	RapCaviar	050ud0e5cmIYjmXplDugVQ	0.849_0.62	4	-5.921	0	0.0589	0.00252	0.000283	0.113	0.481	96.005	165375	hip hop	NA	NA	NA
4YrS33mjBWWchoLJTkAKwt	Go In	Lil Tjay	78	4YrS33mjBWWchoLJTkAKwt	Go In	2019-12-13	RapCaviar	4YrS33mjBWWchoLJTkAKwt	0.799_0.698	9	-5.947	0	0.169	0.125	0	0.0778	0.799	121.998	254963	hip hop	NA	NA	NA
2Xo3rLHjXfdb4avN68aQyi	BEST ON EARTH (feat. BIA)	Russ	82	2Xo3rLHjXfdb4avN68aQyi	BEST ON EARTH (feat. BIA)	2019-10-18	RapCaviar	2Xo3rLHjXfdb4avN68aQyi	0.568_0.764	5	-3.465	0	0.255	0.217	0	0.0931	0.625	179.985	160720	hip hop	NA	NA	NA
34e2WyzmjG2aDk7KykOOZZ	Take It Down (feat. Offset)	Pardison Fontaine	72	34e2WyzmjG2aDk7KykOOZZ	UNDER8ED	2019-11-15	RapCaviar	34e2WyzmjG2aDk7KykOOZZ	0.917_0.494	1	-5.772	1	0.085	0.0393	0	0.194	0.341	143.048	208976	hip hop	NA	NA	NA
4DkZDzcHicZBXCEdA19oWs	Big Drip	Fivio Foreign	73	4DkZDzcHicZBXCEdA19oWs	Pain and Love - EP	2019-11-13	RapCaviar	4DkZDzcHicZBXCEdA19oWs	0.814_0.661	0	-6.453	1	0.356	0.186	8.78789539614227	0.163	0.474	139.956	168307	hip hop	NA	NA	NA
79s5XnCN4TJKTVMSmOx8Ep	Dior	Pop Smoke	76	79s5XnCN4TJKTVMSmOx8Ep	Meet The Woo	2019-07-26	RapCaviar	79s5XnCN4TJKTVMSmOx8Ep	0.548_0.805	7	-5.732	1	0.351	0.212	0.000389	0.408	0.648	142.094	216387	hip hop	NA	NA	NA
6VYXuUz1nYMap8gtqeIrQB	I Think I Luv Her	Tyla Yaweh	77	6VYXuUz1nYMap8gtqeIrQB	I Think I Luv Her	2019-09-27	RapCaviar	6VYXuUz1nYMap8gtqeIrQB	0.902_0.608	11	-6.238	1	0.27	0.000456	0	0.0621	0.836	84.001	160742	hip hop	NA	NA	NA
7LGWmZaoS7jZJ5tEi9EcDi	HAD ENOUGH (feat. Quavo & Offset)	Don Toliver	83	7LGWmZaoS7jZJ5tEi9EcDi	JACKBOYS	2019-12-27	RapCaviar	7LGWmZaoS7jZJ5tEi9EcDi	0.75_0.789	2	-4.578	1	0.108	0.253	0	0.129	0.673	147.957	157133	hip hop	NA	NA	NA
2QpGZOhTCHHiKmpSO9FW4h	Follow God	Kanye West	85	2QpGZOhTCHHiKmpSO9FW4h	JESUS IS KING	2019-10-25	RapCaviar	2QpGZOhTCHHiKmpSO9FW4h	0.529_0.9	1	-3.503	1	0.418	0.000248	1.21e-05	0.0426	0.434	180.291	104591	hip hop	NA	NA	NA
55GiOwtxNajXVbpjjIzMnD	SWISH	Tyga	73	55GiOwtxNajXVbpjjIzMnD	SWISH	2018-07-25	Rap Workout	55GiOwtxNajXVbpjjIzMnD	0.884_0.541	11	-5.608	1	0.221	0.0831	0	0.118	0.274	105.009	194936	hip hop	NA	NA	NA
4cplybBIoPdrvvH7lpJY1z	Again	Jaden	3	4cplybBIoPdrvvH7lpJY1z	Again	2019-07-02	Rap Workout	4cplybBIoPdrvvH7lpJY1z	0.62_0.577	1	-6.479	1	0.0687	0.522	6.78e-05	0.168	0.12	81.499	269840	hip hop	NA	NA	NA
0lstGz2advSx5VqY8olvzt	London	AJ x Deno	67	0lstGz2advSx5VqY8olvzt	London	2018-05-03	Rap Workout	0lstGz2advSx5VqY8olvzt	0.743_0.651	8	-4.452	0	0.176	0.0316	1.83e-05	0.0942	0.511	137.184	228042	hip hop	NA	NA	NA
7fuSDngvlH3PJs3MbKVWNu	Sounds Of The Skeng	Stormzy	66	7fuSDngvlH3PJs3MbKVWNu	Sounds Of The Skeng	2019-09-06	Rap Workout	7fuSDngvlH3PJs3MbKVWNu	0.491_0.805	11	-3.226	0	0.299	0.0263	3.9e-05	0.109	0.382	174.63	214130	hip hop	NA	NA	NA
3DKCTIiJ97bS9TGiqcABjo	Thiago Silva	Dave	73	3DKCTIiJ97bS9TGiqcABjo	Thiago Silva	2016-05-13	Rap Workout	3DKCTIiJ97bS9TGiqcABjo	0.667_0.673	0	-7.574	1	0.323	0.0641	4e-06	0.0975	0.669	144.256	201964	hip hop	NA	NA	NA
7amMgNDcObIDkIXv4xcvc2	Barking	Ramz	13	7amMgNDcObIDkIXv4xcvc2	Barking	2017-12-01	Rap Workout	7amMgNDcObIDkIXv4xcvc2	0.527_0.465	7	-8.055	0	0.227	0.175	0	0.0661	0.765	137.033	202827	hip hop	NA	NA	NA
15nKLSvslk7jntDkxIdYmq	Both	Headie One	69	15nKLSvslk7jntDkxIdYmq	Both	2019-08-15	Rap Workout	15nKLSvslk7jntDkxIdYmq	0.751_0.674	1	-7.101	1	0.212	0.565	0.000266	0.114	0.565	145.808	213587	hip hop	NA	NA	NA
4DmgUMnnCw27Tu5Jvqhm1n	What Do You Mean?	Skepta	66	4DmgUMnnCw27Tu5Jvqhm1n	Ignorance is Bliss	2019-05-31	Rap Workout	4DmgUMnnCw27Tu5Jvqhm1n	0.738_0.521	2	-8.909	1	0.495	0.0482	5.75e-06	0.108	0.379	192.003	211120	hip hop	NA	NA	NA
4WstRtdgYjwPvpCekgYAhs	Bang	G-Eazy	18	4WstRtdgYjwPvpCekgYAhs	B-Sides	2019-06-28	Rap Workout	4WstRtdgYjwPvpCekgYAhs	0.929_0.606	1	-7.356	1	0.242	0.0234	0	0.0925	0.207	103.019	193980	hip hop	NA	NA	NA
7iRn1W8QLad1RnzKkb4iQk	WCF	Hil Holla	41	7iRn1W8QLad1RnzKkb4iQk	WCF	2019-06-18	Rap Workout	7iRn1W8QLad1RnzKkb4iQk	0.545_0.485	11	-11.743	1	0.206	0.122	2.77e-06	0.114	0.498	148.22	181680	hip hop	NA	NA	NA
6gRbkI6s0M7zTE9uhRZUjV	Greaze Mode	Skepta	60	6gRbkI6s0M7zTE9uhRZUjV	Greaze Mode	2019-05-09	Rap Workout	6gRbkI6s0M7zTE9uhRZUjV	0.781_0.72	6	-8.347	0	0.165	0.112	4.1e-05	0.153	0.403	150.074	168400	hip hop	NA	NA	NA
2B9wgj9XzbJZLty03PRbVo	Bezerk (feat. A$AP Ferg)	Big Sean	74	2B9wgj9XzbJZLty03PRbVo	Bezerk	2019-08-26	Rap Workout	2B9wgj9XzbJZLty03PRbVo	0.684_0.687	2	-4.673	1	0.2	0.0164	0	0.253	0.265	184.026	151067	hip hop	NA	NA	NA
6xp6EUAwQ9SGi09htjDDHU	Never Lack	Splurgeboys	52	6xp6EUAwQ9SGi09htjDDHU	Out of the Pan	2018-04-30	Rap Workout	6xp6EUAwQ9SGi09htjDDHU	0.921_0.654	0	-6.343	0Q	0.176	0.0848	0.0021	0.0792	0.431	94.999	210451	hip hop	NA	NA	NA
0CLhMOVhX6TaPpugYkEsge	Never Lie (feat. Moneybagg Yo)	Wiz Khalifa	64	0CLhMOVhX6TaPpugYkEsge	Never Lie (feat. Moneybagg Yo)	2019-08-23	Rap Workout	0CLhMOVhX6TaPpugYkEsge	0.686_0.72	1	-5.744	1	0.0474	0.0269	7.24722111579031	0.117	0.323	140.034	213346	hip hop	NA	NA	NA
26K1cfRaFe9zIyHztwVdQf	Gangsta	Smiler	50	26K1cfRaFe9zIyHztwVdQf	Gangsta	2018-01-31	Rap Workout	26K1cfRaFe9zIyHztwVdQf	0.855_0.459	4	-10.328	1	0.353	0.469	0	0.163	0.595	130.023	162534	hip hop	NA	NA	NA
78XK5PDIKWiDKcgiLl1x0o	Still Disappointed	Stormzy	70	78XK5PDIKWiDKcgiLl1x0o	Still Disappointed	0.5-01-10	Rap Workout	78XK5PDIKWiDKcgiLl1x0o	0.731_0.674	1	-6.986	1	0.274	0.0943	0	0.0807	0.701	139.916	165027	hip hop	NA	NA	NA
0kfp6rRddGkoyAhosSeZLS	Buss Down (feat. ZieZie)	Aitch	60	0kfp6rRddGkoyAhosSeZLS	Buss Down (feat. ZieZie)	2019-09-02	Rap Workout	0kfp6rRddGkoyAhosSeZLS	0.795_0.779	11	-5.413	1Q	0.177	0.109	1.44e-05	0.0836	0.783	95.045	211787	hip hop	NA	NA	NA
3rez7t0KrJuhx6HNAyFYWH	West Side	The Game	56	3rez7t0KrJuhx6HNAyFYWH	West Side	2019-06-21	Rap Workout	3rez7t0KrJuhx6HNAyFYWH	0.774_0.65	8	-6.4	1	0.25	0.126	2.63e-06	0.122	0.358	84.389	170397	hip hop	NA	NA	NA
7J2DtwsxdoyrhgNV3Vzmos	MAYDAY (feat. Sheck Wes & Young Thug)	CHASE B	57	7J2DtwsxdoyrhgNV3Vzmos	MAYDAY (feat. Sheck Wes & Young Thug)	2019-07-19	Rap Workout	7J2DtwsxdoyrhgNV3Vzmos	0.764_0.726	7	-5.812	1	0.245	0.0947	0	0.112	0.36	120.114	179533	hip hop	NA	NA	NA
4hLGvFqsCM5z3714dbEDVV	RUN	Kardinal Offishall	42	4hLGvFqsCM5z3714dbEDVV	RUN	2019-06-04	Rap Workout	4hLGvFqsCM5z3714dbEDVV	0.592_0.87	1	-4.55	1	0.27	0.00432	0	0.0596	0.794	90.065	234851	hip hop	NA	NA	NA
7mv4eldXEFbf3s3ZEfbmlC	Stripper Bowl	Migos	60	7mv4eldXEFbf3s3ZEfbmlC	Stripper Bowl	2019-06-20	Rap Workout	7mv4eldXEFbf3s3ZEfbmlC	0.953_0.782	1	-4.443	1	0.214	0.0507	0	0.0785	0.823	132.959	202747	hip hop	NA	NA	NA
3KIMdTgROcteSwwKwoK3Bs	Act a Fool	Rick Ross	55	3KIMdTgROcteSwwKwoK3Bs	Act a Fool	2019-06-21	Rap Workout	3KIMdTgROcteSwwKwoK3Bs	0.611_0.803	10	-4.081	0	0.11	0.0139	0	0.367	0.481	157.833	288019	hip hop	NA	NA	NA
2gDwgvtJJDkRLzoks6BgSE	DIZZY	KAS	55	2gDwgvtJJDkRLzoks6BgSE	DIZZY	2019-07-26	Rap Workout	2gDwgvtJJDkRLzoks6BgSE	0.697_0.547	5	-10.548	1	0.117	0.0656	0	0.233	0.741	76.962	219740	hip hop	NA	NA	NA
4l7oD6415mxY0uSppVUUjX	On GOD (with YG & Tyga feat. A$AP Ferg & A$AP Rocky)	Mustard	19	4l7oD6415mxY0uSppVUUjX	On GOD (with YG & Tyga feat. A$AP Ferg & A$AP Rocky)	2019-06-21	Rap Workout	4l7oD6415mxY0uSppVUUjX	0.857_0.676	1	-5.359	1	0.192	0.218	0	0.0592	0.339	103.998	263127	hip hop	NA	NA	NA
6FZjiSBSQoj1geAgXjvqez	Undefeated (feat. Lil Keed)	Future	61	6FZjiSBSQoj1geAgXjvqez	Undefeated (feat. Lil Keed)	2019-07-23	Rap Workout	6FZjiSBSQoj1geAgXjvqez	0.855_0.561	2	-5.105	1	0.277	0.00135	0	0.187	0.408	157.016	156467	hip hop	NA	NA	NA
13KV7AMsYRVBHgRCJSXaqx	BIG TYME	Rick Ross	57	13KV7AMsYRVBHgRCJSXaqx	BIG TYME	2019-07-02	Rap Workout	13KV7AMsYRVBHgRCJSXaqx	0.601_0.682	1	-6.593	1	0.164	0.000164	0.000147	0.42	0.155	83.978	242857	hip hop	NA	NA	NA
7swFgLy1v4he4fZUpIWwiK	Wigs (feat. City Girls & ANTHA)	A$AP Ferg	49	7swFgLy1v4he4fZUpIWwiK	Wigs (feat. City Girls & ANTHA)	2019-06-24	Rap Workout	7swFgLy1v4he4fZUpIWwiK	0.8_0.827	1	-2.534	1	0.224	0.0405	0	0.113	0.719	177.08	179848	hip hop	NA	NA	NA
26BkXpWAaajgL2Eh9TA95B	Givenchy Bag (feat. Future, Nafe Smallz & Chip)	Wiley	61	26BkXpWAaajgL2Eh9TA95B	Givenchy Bag (feat. Future, Nafe Smallz & Chip)	2019-10-03	Rap Workout	26BkXpWAaajgL2Eh9TA95B	0.752_0.663	11	-6.28	0	0.269	0.382	0	0.0875	0.826	97.225	172500	hip hop	NA	NA	NA
4qy2jqC6mThGscpYxpNtax	Ban Drill	Krept & Konan	57	4qy2jqC6mThGscpYxpNtax	Ban Drill	2019-06-13	Rap Workout	4qy2jqC6mThGscpYxpNtax	0.503_0.743	6	-6.044	0	0.332	0.102	0	0.0863	0.423	93.27	287927	hip hop	NA	NA	NA
7FNEssuIwXN2LFEdxIQUei	Go Arder	B Mus	39	7FNEssuIwXN2LFEdxIQUei	Mus B	2018-07-10	Rap Workout	7FNEssuIwXN2LFEdxIQUei	0.764_0.867	6	-3.141	0	0.24	0.0292	0	0.0553	0.677	123.995	230920	hip hop	NA	NA	NA
0lpkIkav4zSnEWoCtlfyBW	ATL Hoe	Baby D.	23	0lpkIkav4zSnEWoCtlfyBW	Lil Chopper Toy	2002	Dirty South Rap Classics by DJ HOTSAUCE	0lpkIkav4zSnEWoCtlfyBW	0.905_0.951	1	-3.268	1	0.319	0.0644	0	0.107	0.838	124.023	272773	southern hip hop	NA	NA	NA
13aXosb9ASn6tRQbfw1WPU	Dope Boyz	T.I.	32	13aXosb9ASn6tRQbfw1WPU	Im Serious	2001-10-01	Dirty South Rap Classics by DJ HOTSAUCE	13aXosb9ASn6tRQbfw1WPU	0.755_0.619	4	-8.895	0Q	0.225	0.03	0	0.213	0.297	86.992	264840	southern hip hop	NA	NA	NA
4IejnaWylIqjqh0acnxmJS	Ridin Wit Some Killaz	Hitman Sammy Sam	12	4IejnaWylIqjqh0acnxmJS	Last Man Standing	2006-09-19	Dirty South Rap Classics by DJ HOTSAUCE	4IejnaWylIqjqh0acnxmJS	0.809_0.936	7	-4.995	1	0.0749	0.000799	0.18	0.737	0.925	134.057	289227	southern hip hop	NA	NA	NA
7MSwclTvW6KLLkTbmw9FUQ	Throw It Up	Pastor Troy	52	7MSwclTvW6KLLkTbmw9FUQ	Kings Of Crunk	2002-10-29	Dirty South Rap Classics by DJ HOTSAUCE	7MSwclTvW6KLLkTbmw9FUQ	0.698_0.602	3	-3.183	1	0.0889	0.0515	0	0.32	0.138	145.941	372973	southern hip hop	NA	NA	NA
7d9I42jF759n5HuUeoulzR	Nann Nigga	Trick Daddy	51	7d9I42jF759n5HuUeoulzR	www.thug.com (Explicit Version)	1999-03-30	Dirty South Rap Classics by DJ HOTSAUCE	7d9I42jF759n5HuUeoulzR	0.837_0.819	2	-5.245	1	0.211	0.000507	0	0.323	0.643	149.918	167400	southern hip hop	NA	NA	NA
5FGBOYI8mj9chVhWlNOVXK	Who U Wit	Lil Jon & The East Side Boyz	30	5FGBOYI8mj9chVhWlNOVXK	Crunkest Hits	2011-03-15	Dirty South Rap Classics by DJ HOTSAUCE	5FGBOYI8mj9chVhWlNOVXK	0.937_0.807	1	-4.784	0	0.116	0.0262	0	0.0572	0.703	95.018	272773	southern hip hop	NA	NA	NA
1dSHz2TN7HwE8p5aGw8jjy	Eastside Vs. Westside	Baby D.	14	1dSHz2TN7HwE8p5aGw8jjy	Lil Chopper Toy	2002	Dirty South Rap Classics by DJ HOTSAUCE	1dSHz2TN7HwE8p5aGw8jjy	0.699_0.82	3	-4.968	0	0.243	0.00712	0	0.319	0.468	130.015	190427	southern hip hop	NA	NA	NA
0cYzIKaobR7yaxjMTRvO6P	One Day	UGK	37	0cYzIKaobR7yaxjMTRvO6P	Best of UGK	2003-06-12	Dirty South Rap Classics by DJ HOTSAUCE	0cYzIKaobR7yaxjMTRvO6P	0.812_0.554	1	-9.806	0	0.209	0.247	0	0.129	0.687	146.099	323960	southern hip hop	NA	NA	NA
0iRXwSL6X0Fhya8Xk8kNhl	Nextel Chirp	Maceo	22	0iRXwSL6X0Fhya8Xk8kNhl	Straight Out da Pot	2005-08-23	Dirty South Rap Classics by DJ HOTSAUCE	0iRXwSL6X0Fhya8Xk8kNhl	0.751_0.747	1	-4.888	1	0.173	0.466	1.61769432413857	0.118	0.548	150.088	281013	southern hip hop	NA	NA	NA
5w3CiqpCBupl0SLppRaput	Be Easy	T.I.	0	5w3CiqpCBupl0SLppRaput	Trap Muzik	2003-08-19	Dirty South Rap Classics by DJ HOTSAUCE	5w3CiqpCBupl0SLppRaput	0.584_0.732	1	-5.276	0	0.236	0.00198	0	0.116	0.361	155.033	198027	southern hip hop	NA	NA	NA
63BokRfXSQhEU6Qi2dSJpZ	Mind Playing Tricks on Me	Geto Boys	65	63BokRfXSQhEU6Qi2dSJpZ	We Cant Be Stopped	1991-07-02	Dirty South Rap Classics by DJ HOTSAUCE	63BokRfXSQhEU6Qi2dSJpZ	0.886_0.512	10	-11.825	0	0.237	0.207	0	0.0991	0.454	93.997	308733	southern hip hop	NA	NA	NA
20ekNN40AwbZ7fwFEaLESa	Let Me See It	UGK	0	20ekNN40AwbZ7fwFEaLESa	Dirty Money	1990-01-01	Dirty South Rap Classics by DJ HOTSAUCE	20ekNN40AwbZ7fwFEaLESa	0.81_0.628	11	-8.279	0Q	0.278	0.0122	0	0.0679	0.71	155.939	253507	southern hip hop	NA	NA	NA
3vR6ivBSe0SWntHyEzh4X1	Head Bussa (feat. Lil Jon)	Lil Scrappy	44	3vR6ivBSe0SWntHyEzh4X1	Head Bussa	2003-09-02	Dirty South Rap Classics by DJ HOTSAUCE	3vR6ivBSe0SWntHyEzh4X1	0.819_0.845	4	-5.659	1	0.089	0.00166	0	0.0492	0.611	78.02	236565	southern hip hop	NA	NA	NA
5HOR3skey0qLfiTejqQ7KD	Get Ya Mind Right	Jeezy	0	5HOR3skey0qLfiTejqQ7KD	Lets Get It: Thug Motivation 101 (Explicit Version)	2005-01-01	Dirty South Rap Classics by DJ HOTSAUCE	5HOR3skey0qLfiTejqQ7KD	0.394_0.779	5	-5.926	1	0.376	0.0207	0	0.365	0.654	79.335	221240	southern hip hop	NA	NA	NA
0AMsWm4pZWF0JrraOawTD9	Nothins Free	Oobie	29	0AMsWm4pZWF0JrraOawTD9	Kings Of Crunk	2002-10-29	Dirty South Rap Classics by DJ HOTSAUCE	0AMsWm4pZWF0JrraOawTD9	0.686_0.596	1	-5.188	1	0.129	0.532	4.44244371308014	0.328	0.269	96.155	262720	southern hip hop	NA	NA	NA
5RDqj06z9J287XqeQgYZdb	Elevators (Me & You)	OutKast	0	5RDqj06z9J287XqeQgYZdb	ATLiens	1996-08-27	Dirty South Rap Classics by DJ HOTSAUCE	5RDqj06z9J287XqeQgYZdb	0.774_0.586	10	-10.434	0	0.301	0.0234	0.000726	0.0562	0.642	85.075	265200	southern hip hop	NA	NA	NA
