track_id	TTrack_nameff5	track_artist	track_popularity	track_album_id	track_album_name	track_album_release_date	playlist_name	playlist_id	danceability-energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	pop	rap	rock	r&b	edm
3YDeFx4VPESam1upfiJmVW	Be Okay	Jordan Fisher	50	3YDeFx4VPESam1upfiJmVW	Be Okay	75-11-22	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	3YDeFx4VPESam1upfiJmVW	0.626_0.598	1	-7.15	1	0.0622	0.056	0	0.164	0.472	75.943	188341	indie poptimism	NA	NA	NA	NA
1E8A6Ceb92WBAe6mUxCBDO	Easy	Brad Blackburn	33	1E8A6Ceb92WBAe6mUxCBDO	Easy	75-11-08	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	1E8A6Ceb92WBAe6mUxCBDO	0.827_0.515	3	-8.756	1	0.0421	0.22	6.13e-05	0.274	0.753	112.011	151369	indie poptimism	NA	NA	NA	NA
38OQksFGBI3vGeSMrG5qMo	Paper Skin	Moonfall	31	38OQksFGBI3vGeSMrG5qMo	Paper Skin	75-09-26	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	38OQksFGBI3vGeSMrG5qMo	0.657_0.811	4	-5.437	0	0.0465	0.0665	1.41e-06	0.312	0.63	119.995	187625	indie poptimism	NA	NA	NA	NA
6OPOa3qlKoDUzGpS8MrcLi	This Must Be My Dream	The 1975	54	6OPOa3qlKoDUzGpS8MrcLi	I like it when you sleep, for you are so beautiful yet so unaware of it	2016-02-26	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	6OPOa3qlKoDUzGpS8MrcLi	0.592_0.84	9	-4.697	1	0.0364	0.0193	0.000191	0.327	0.679	103.026	252480	indie poptimism	NA	NA	NA	NA
20XjdVfh6kFATmgm7T0C5r	Fade Out	Seeb	68	20XjdVfh6kFATmgm7T0C5r	Fade Out	75-05-15	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	20XjdVfh6kFATmgm7T0C5r	0.706_0.68	4	-4.65	0	0.0424	0.118	0	0.0443	0.728	105.977	196667	indie poptimism	NA	NA	NA	NA
2btKtacOXuMtC9WjcNRvAA	ILYSB	LANY	69	2btKtacOXuMtC9WjcNRvAA	LANY	2017-06-30	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	2btKtacOXuMtC9WjcNRvAA	0.636_0.623	5	-7.016	1	0.0603	0.468	0.00453	0.351	0.389	100.026	211150	indie poptimism	NA	NA	NA	NA
1DJVPxNc4PmCC8EB9oZYfB	See Through	The Band CAMINO	14	1DJVPxNc4PmCC8EB9oZYfB	Daphne Blue / See Through	75-05-14	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	1DJVPxNc4PmCC8EB9oZYfB	0.577_0.811	2	-5.123	1	0.075	0.0394	0	0.11	0.666	92.002	181421	indie poptimism	NA	NA	NA	NA
1SDLrgSkAw2LcdXfWArPgs	Crash My Car	COIN	10	1SDLrgSkAw2LcdXfWArPgs	Crash My Car	75-06-13	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	1SDLrgSkAw2LcdXfWArPgs	0.244_0.645	5	-5.863	1	0.0456	0.00178	0.00574	0.301	0.529	183.577	188307	indie poptimism	NA	NA	NA	NA
6iCJCZqDJjmBxt07Oid6FI	Buttercup	Hippo Campus	67	6iCJCZqDJjmBxt07Oid6FI	Landmark	2017-02-24	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	6iCJCZqDJjmBxt07Oid6FI	0.623_0.763	9	-4.412	1	0.0719	0.199	6.52e-06	0.126	0.199	108.871	226610	indie poptimism	NA	NA	NA	NA
2Qizs1bDIl7uhOyPductaz	The Dance	Night Cap	30	2Qizs1bDIl7uhOyPductaz	The Dance	75-08-05	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	2Qizs1bDIl7uhOyPductaz	0.621_0.769	0	-3.91	1T	0.0353	0.109	0	0.133	0.566	130.05	229569	indie poptimism	NA	NA	NA	NA
5vtyFzfLkCSJvXEZFjQAa1	Your Shirt	Chelsea Cutler	44	5vtyFzfLkCSJvXEZFjQAa1	Your Shirt	2017-02-24	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	5vtyFzfLkCSJvXEZFjQAa1	0.426_0.476	2	-6.64	1T	0.0741	0.185	0	0.327	0.169	179.793	232759	indie poptimism	NA	NA	NA	NA
2tOOcDDYkh0PSjr6GwPEAJ	Love Me Less (feat. Quinn XCII)	MAX	78	2tOOcDDYkh0PSjr6GwPEAJ	Love Me Less (feat. Quinn XCII)	75-04-05	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	2tOOcDDYkh0PSjr6GwPEAJ	0.732_0.856	11	-2.2	0	0.0929	0.0828	0	0.323	0.771	145.034	177670	indie poptimism	NA	NA	NA	NA
7LnlYD9vq4c9SOrgWOSuDh	Running Blind	Theo Kandel	37	7LnlYD9vq4c9SOrgWOSuDh	Running Blind	75-07-05	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	7LnlYD9vq4c9SOrgWOSuDh	0.724_0.497	4	-6.397	1	0.104	0.0544	0	0.212	0.576	154.859	224613	indie poptimism	NA	NA	NA	NA
4ICSZfaKo9t9JRClVZwEpG	Waterfalls	THE WLDLFE	48	4ICSZfaKo9t9JRClVZwEpG	New	2016-03-03	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	4ICSZfaKo9t9JRClVZwEpG	0.67_0.558	7	-7.615	1	0.0266	0.0572	0.0196	0.106	0.437	106.081	269119	indie poptimism	NA	NA	NA	NA
2J4T0IOIZjQhLzosKPR2PN	Gimme	BANKS	60	2J4T0IOIZjQhLzosKPR2PN	III	75-07-12	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	2J4T0IOIZjQhLzosKPR2PN	0.762_0.619	2	-5.227	0	0.102	0.501	2.19e-05	0.248	0.596	120.022	219493	indie poptimism	NA	NA	NA	NA
57nNNkgk768QVXq3uHxu5e	Ways to Go	Grouplove	63	57nNNkgk768QVXq3uHxu5e	Spreading Rumours	2013-09-17	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	57nNNkgk768QVXq3uHxu5e	0.577_0.827	7	-7.54	1	0.0365	0.00338	0.000647	0.26	0.179	101.031	215520	indie poptimism	NA	NA	NA	NA
0s5ibKUNbISHnrBrx1o2nF	Too Far Gone	Lost Kings	57	0s5ibKUNbISHnrBrx1o2nF	Too Far Gone	75-06-07	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	0s5ibKUNbISHnrBrx1o2nF	0.619_0.833	7	-4.941	1	0.0366	0.0122	0	0.24	0.527	93.01	196953	indie poptimism	NA	NA	NA	NA
5SiPF66MWD55UCrvVKWufG	OPTIMISTIC	X Ambassadors	46	5SiPF66MWD55UCrvVKWufG	OPTIMISTIC	75-08-23	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	5SiPF66MWD55UCrvVKWufG	0.346_0.928	0	-5.074	1	0.0851	0.00244	0	0.685	0.416	163.949	165593	indie poptimism	NA	NA	NA	NA
4P1EGoXLWQ1YF6Nsmr1pfy	You And I	LEON	66	4P1EGoXLWQ1YF6Nsmr1pfy	LEON	75-03-01	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	4P1EGoXLWQ1YF6Nsmr1pfy	0.554_0.786	9	-4.288	1	0.0491	0.0024	4.01542395283468	0.148	0.358	120.057	224064	indie poptimism	NA	NA	NA	NA
1GZH9Sv6zCIse2GKihRHKy	Summer Girl	HAIM	60	1GZH9Sv6zCIse2GKihRHKy	Summer Girl	75-07-31	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	1GZH9Sv6zCIse2GKihRHKy	0.512_0.544	1	-7.953	0T	0.226	0.356	0.0159	0.169	0.616	99.927	205027	indie poptimism	NA	NA	NA	NA
5pd5gGxcHxErpWzbYxNi15	Hold The Line - Acoustic	A R I Z O N A	53	5pd5gGxcHxErpWzbYxNi15	Hold The Line (Acoustic)	75-07-25	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	5pd5gGxcHxErpWzbYxNi15	0.648_0.311	6	-10.847	0	0.0358	0.913	6.89e-05	0.112	0.327	90.946	195561	indie poptimism	NA	NA	NA	NA
7nGVsZvWnSvQJGkuxTnOrS	Move On	ayokay	38	7nGVsZvWnSvQJGkuxTnOrS	we come alive. (1-3)	75-08-09	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	7nGVsZvWnSvQJGkuxTnOrS	0.712_0.677	11	-5.911	0	0.0274	0.252	0	0.185	0.514	110.001	224482	indie poptimism	NA	NA	NA	NA
4djIFfof5TpbSGRZUpsTXq	Talk Too Much	COIN	68	4djIFfof5TpbSGRZUpsTXq	How Will You Know If You Never Try	2017-04-21	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	4djIFfof5TpbSGRZUpsTXq	0.598_0.888	4	-5.119	1	0.0807	0.00947	0	0.347	0.482	103.966	187133	indie poptimism	NA	NA	NA	NA
2RZG69vGcBkMGZQf7JiO3v	You Are Losing Me	Chelsea Cutler	62	2RZG69vGcBkMGZQf7JiO3v	You Are Losing Me	75-09-27	Indie Poptimism (PUBLIC, The Band CAMINO, lovelytheband)	2RZG69vGcBkMGZQf7JiO3v	0.577_0.43	7	-9.764	1	0.0714	0.224	2.53e-05	0.135	0.346	99.982	207333	indie poptimism	NA	NA	NA	NA
34i4yxPrHWquuR4kjiivFO	Somebody Else	VERITE	62	34i4yxPrHWquuR4kjiivFO	Somebody Else	2016-09-09	The Sound of Indie Poptimism	34i4yxPrHWquuR4kjiivFO	0.674_0.593	11	-6.47	0	0.0582	0.201	0.000529	0.209	0.464	116.995	233077	indie poptimism	NA	NA	NA	NA
5UAOuU3YK9xo76vtrhyDng	dancing around	flor	62	5UAOuU3YK9xo76vtrhyDng	ley lines	75-09-06	The Sound of Indie Poptimism	5UAOuU3YK9xo76vtrhyDng	0.726_0.657	10	-7.066	0	0.0327	0.00765	0.000248	0.0975	0.629	114.996	235707	indie poptimism	NA	NA	NA	NA
3o8bovLXjsxsFBTXajm1VA	Middle Finger	Phoebe Ryan	58	3o8bovLXjsxsFBTXajm1VA	Middle Finger	2018-06-08	The Sound of Indie Poptimism	3o8bovLXjsxsFBTXajm1VA	0.704_0.664	9	-3.209	0	0.0468	0.141	0	0.107	0.533	99.963	241893	indie poptimism	NA	NA	NA	NA
3wchQBokK9IDtoYrw14gpK	Girls Your Age	Transviolet	51	3wchQBokK9IDtoYrw14gpK	Transviolet	2015-09-18	The Sound of Indie Poptimism	3wchQBokK9IDtoYrw14gpK	0.427_0.398	0	-9.553	0T	0.0536	0.453	0.00479	0.0903	0.114	139.249	208053	indie poptimism	NA	NA	NA	NA
6UVZo6UKUZC1J2KPP3IIwQ	yes & no	XYLO	61	6UVZo6UKUZC1J2KPP3IIwQ	yes & no	75-05-31	The Sound of Indie Poptimism	6UVZo6UKUZC1J2KPP3IIwQ	0.835_0.505	8	-5.834	0T	0.168	0.286	0.00219	0.198	0.665	118.021	178983	indie poptimism	NA	NA	NA	NA
1hsPZY6oWcPfFPqDEQmMaW	Waves	Luna Shadows	45	1hsPZY6oWcPfFPqDEQmMaW	Waves	75-07-29	The Sound of Indie Poptimism	1hsPZY6oWcPfFPqDEQmMaW	0.564_0.826	8	-5.534	0	0.0707	0.176	4.21e-06	0.169	0.417	121.984	218361	indie poptimism	NA	NA	NA	NA
0c37uJwj7mpovCAuFY5ofQ	Do Right	Glades	44	0c37uJwj7mpovCAuFY5ofQ	To Love You	2018-11-02	The Sound of Indie Poptimism	0c37uJwj7mpovCAuFY5ofQ	0.749_0.688	3	-6.446	1	0.0289	0.0504	0	0.0902	0.668	106.991	197240	indie poptimism	NA	NA	NA	NA
3cmcy7BwekXhIzysIdhLng	Reckless Lover - Acoustic	Handsome Ghost	50	3cmcy7BwekXhIzysIdhLng	Reckless Lover (Acoustic)	2018-03-09	The Sound of Indie Poptimism	3cmcy7BwekXhIzysIdhLng	0.633_0.222	10	-10.381	1	0.0301	0.855	0	0.107	0.61	111.411	240579	indie poptimism	NA	NA	NA	NA
0aersVHlGGXcHeRvHtuaSt	Dancing On Glass	St. Lucia	58	0aersVHlGGXcHeRvHtuaSt	Matter	2016-01-29	The Sound of Indie Poptimism	0aersVHlGGXcHeRvHtuaSt	0.564_0.945	1	-4.705	1	0.0493	0.0189	0	0.359	0.399	101.003	246333	indie poptimism	NA	NA	NA	NA
6Jo0NEaU8Ray3TEl1LVkw7	Wanna Be	Betty Who	52	6Jo0NEaU8Ray3TEl1LVkw7	The Valley	2017-03-24	The Sound of Indie Poptimism	6Jo0NEaU8Ray3TEl1LVkw7	0.665_0.715	4	-4.887	1	0.0518	0.09	0	0.14	0.379	98.967	210907	indie poptimism	NA	NA	NA	NA
2PtBhfoPZ6VYtXkrE5FrCH	Reflections	MisterWives	62	2PtBhfoPZ6VYtXkrE5FrCH	Our Own House	2015-02-24	The Sound of Indie Poptimism	2PtBhfoPZ6VYtXkrE5FrCH	0.682_0.676	2	-5.46	1	0.0291	0.0226	0.0164	0.101	0.604	111.008	186440	indie poptimism	NA	NA	NA	NA
41cJIihaawZaBWzhQGv25i	Cain	EXES	56	41cJIihaawZaBWzhQGv25i	Cain	2017-06-02	The Sound of Indie Poptimism	41cJIihaawZaBWzhQGv25i	0.467_0.453	1	-9.703	1	0.0469	0.402	1.28e-05	0.213	0.252	199.79	216000	indie poptimism	NA	NA	NA	NA
6L9E5ONm7Mv8lraV53UR3X	All of the People	Panama Wedding	46	6L9E5ONm7Mv8lraV53UR3X	Parallel Play	2014-01-01	The Sound of Indie Poptimism	6L9E5ONm7Mv8lraV53UR3X	0.693_0.67	5	-5.917	0	0.0518	0.0317	0.00195	0.0661	0.929	89.98	215907	indie poptimism	NA	NA	NA	NA
7x6cBmHXwdS1EGwVx4silu	Only Us	Paperwhite	43	7x6cBmHXwdS1EGwVx4silu	Only Us	2017-05-11	The Sound of Indie Poptimism	7x6cBmHXwdS1EGwVx4silu	0.398_0.73	1	-5.98	1	0.0671	0.00594	0.0257	0.0673	0.212	98.594	204000	indie poptimism	NA	NA	NA	NA
7rAUH8YZRvGyZ5wmoKjYbG	So I Met Someone	VHS Collection	53	7rAUH8YZRvGyZ5wmoKjYbG	So I Met Someone	2017-05-25	The Sound of Indie Poptimism	7rAUH8YZRvGyZ5wmoKjYbG	0.605_0.725	0	-5.854	1	0.0344	0.0461	1.93e-05	0.121	0.559	88.979	220667	indie poptimism	NA	NA	NA	NA
59uEiooaCUECb1fMmo6Sr9	Love Me Wrong	Allie X	66	59uEiooaCUECb1fMmo6Sr9	Love Me Wrong	75-12-06	The Sound of Indie Poptimism	59uEiooaCUECb1fMmo6Sr9	0.46_0.458	2	-7.912	1	0.031	0.576	0	0.0925	0.104	97.15	192907	indie poptimism	NA	NA	NA	NA
3V0W5CfNDMiTKg93wuLFxJ	Let Go	RAC	53	3V0W5CfNDMiTKg93wuLFxJ	Strangers	2014-01-01	The Sound of Indie Poptimism	3V0W5CfNDMiTKg93wuLFxJ	0.746_0.84	5	-5.891	1T	0.0331	0.0917	0.0156	0.351	0.734	110	280120	indie poptimism	NA	NA	NA	NA
6M8qU2rDpeRQLE88DF2xtq	Peach	Broods	60	6M8qU2rDpeRQLE88DF2xtq	Dont Feed The Pop Monster	75-02-01	The Sound of Indie Poptimism	6M8qU2rDpeRQLE88DF2xtq	0.688_0.738	5	-4.831	1	0.0404	0.0085	3.54e-05	0.258	0.251	111.013	255397	indie poptimism	NA	NA	NA	NA
0owL3tvmERawo5yh2lZqmT	I Wear Glasses	Mating Ritual	51	0owL3tvmERawo5yh2lZqmT	How You Gonna Stop It?	2017-06-09	The Sound of Indie Poptimism	0owL3tvmERawo5yh2lZqmT	0.401_0.877	10	-3.303	1	0.0694	0.065	0.0463	0.321	0.343	148.009	214071	indie poptimism	NA	NA	NA	NA
2aKoElQmZWu2ZMCB3f2tbc	Ghosts	Scavenger Hunt	39	2aKoElQmZWu2ZMCB3f2tbc	Ghosts	2017-12-22	The Sound of Indie Poptimism	2aKoElQmZWu2ZMCB3f2tbc	0.669_0.719	8	-7.227	0	0.0298	0.0237	0.0138	0.102	0.326	118.006	228160	indie poptimism	NA	NA	NA	NA
2Uws5LNuLkvf9aR14UM3x2	Reasons Not To Die - Demo	Ryn Weaver	53	2Uws5LNuLkvf9aR14UM3x2	Reasons Not To Die (Demo)	2018-09-14	The Sound of Indie Poptimism	2Uws5LNuLkvf9aR14UM3x2	0.57_0.376	4	-9.932	1	0.0302	0.73	0	0.127	0.248	130.147	220629	indie poptimism	NA	NA	NA	NA
6H4IrhaJFaoXrSuQQKfzpD	Little Games - St. Lucia Remix	The Colourist	46	6H4IrhaJFaoXrSuQQKfzpD	Inversions	2013-10-28	The Sound of Indie Poptimism	6H4IrhaJFaoXrSuQQKfzpD	0.571_0.728	7	-8.901	0	0.104	0.00293	0.228	0.112	0.571	110.541	273400	indie poptimism	NA	NA	NA	NA
6Hx7kdHB9kGdxnw2EwSx2V	Million Bucks	Smallpools	61	6Hx7kdHB9kGdxnw2EwSx2V	Million Bucks	2017-06-09	The Sound of Indie Poptimism	6Hx7kdHB9kGdxnw2EwSx2V	0.608_0.865	1	-3.961	0	0.0451	0.00602	0	0.127	0.568	100.026	239893	indie poptimism	NA	NA	NA	NA
33TRLeMwVVAWa2eZEGnTip	Do Me Like That	Penguin Prison	49	33TRLeMwVVAWa2eZEGnTip	Turn It Up	2018-02-09	The Sound of Indie Poptimism	33TRLeMwVVAWa2eZEGnTip	0.61_0.82	9	-5.035	1	0.0332	0.101	1.78e-06	0.212	0.773	152.091	195067	indie poptimism	NA	NA	NA	NA
0qxRmtTovuLU4VBz5y4DsJ	Twenty Something - Stripped Sessions	Nightly	61	0qxRmtTovuLU4VBz5y4DsJ	Twenty Something/No Call, No Reply (Stripped Sessions)	75-05-24	The Sound of Indie Poptimism	0qxRmtTovuLU4VBz5y4DsJ	0.598_0.429	8	-11.145	1	0.0368	0.107	0.00936	0.0849	0.0568	99.933	261527	indie poptimism	NA	NA	NA	NA
0O8z1t1M41aeVAUi7scRvb	Gravity	Ralph	46	0O8z1t1M41aeVAUi7scRvb	Gravity	75-07-03	The Sound of Indie Poptimism	0O8z1t1M41aeVAUi7scRvb	0.754_0.668	0	-4.054	0	0.0392	0.366	4.93e-06	0.111	0.765	117.947	203095	indie poptimism	NA	NA	NA	NA
3hQKuj4sZ9L4Yn0RC2SIrI	Ocean	Ella Vos	61	3hQKuj4sZ9L4Yn0RC2SIrI	Ocean	2018-12-07	The Sound of Indie Poptimism	3hQKuj4sZ9L4Yn0RC2SIrI	0.471_0.361	11	-10.903	1	0.0281	0.0152	0.000509	0.143	0.0674	87.819	210503	indie poptimism	NA	NA	NA	NA
4k3KuaHE8dET4RPp1GIxUe	Nice Guy	courtship.	52	4k3KuaHE8dET4RPp1GIxUe	Denial in Paradise	2018-05-11	The Sound of Indie Poptimism	4k3KuaHE8dET4RPp1GIxUe	0.516_0.74	6	-4.879	1	0.0418	0.000821	1.11e-06	0.142	0.515	108.986	161600	indie poptimism	NA	NA	NA	NA
6WhzFzROw3aq3rPWjgYlxr	Gold	Kiiara	61	6WhzFzROw3aq3rPWjgYlxr	Gold	2015-10-26	The Sound of Indie Poptimism	6WhzFzROw3aq3rPWjgYlxr	0.6_0.412	8	-9.343	1	0.344	0.615	0.0025	0.134	0.408	113.049	225882	indie poptimism	NA	NA	NA	NA
4ob71GMH7PAokRzPhejagR	Awa Ni	The Knocks	55	4ob71GMH7PAokRzPhejagR	Awa Ni	75-06-21	The Sound of Indie Poptimism	4ob71GMH7PAokRzPhejagR	0.667_0.818	1	-6.167	0	0.131	0.0358	0.000117	0.329	0.43	119.005	219777	indie poptimism	NA	NA	NA	NA
6kF2DYkORE9d17oPFomMPJ	Paris	Magic Man	43	6kF2DYkORE9d17oPFomMPJ	Before the Waves	2013	The Sound of Indie Poptimism	6kF2DYkORE9d17oPFomMPJ	0.472_0.881	2	-5.252	1T	0.0524	0.0876	0	0.0698	0.502	178.858	232747	indie poptimism	NA	NA	NA	NA
